source_family,receipt_id,blocker_code,source_ts,capture_ts,available_to_brain_ts,source_time_basis
market_bars_5m,receipt:market_bars_5m:2026-06-23T18:55:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T18:59:59Z,2026-06-23T18:57:07.505683Z,2026-06-23T18:57:07.505683Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T18:50:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T18:54:59Z,2026-06-23T18:52:13.148426Z,2026-06-23T18:52:13.148426Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T18:45:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T18:49:59Z,2026-06-23T18:47:13.887092Z,2026-06-23T18:47:13.887092Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T18:40:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T18:44:59Z,2026-06-23T18:42:28.200272Z,2026-06-23T18:42:28.200272Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T18:35:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T18:39:59Z,2026-06-23T18:37:20.429346Z,2026-06-23T18:37:20.429346Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T18:30:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T18:34:59Z,2026-06-23T18:32:36.276285Z,2026-06-23T18:32:36.276285Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T18:25:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T18:29:59Z,2026-06-23T18:27:28.180970Z,2026-06-23T18:27:28.180970Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T18:20:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T18:24:59Z,2026-06-23T18:22:45.517289Z,2026-06-23T18:22:45.517289Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T18:15:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T18:19:59Z,2026-06-23T18:16:49.522064Z,2026-06-23T18:16:49.522064Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T18:10:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T18:14:59Z,2026-06-23T18:13:03.562488Z,2026-06-23T18:13:03.562488Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T18:05:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T18:09:59Z,2026-06-23T18:06:58.601682Z,2026-06-23T18:06:58.601682Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T18:00:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T18:04:59Z,2026-06-23T18:04:13.959181Z,2026-06-23T18:04:13.959181Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T17:55:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T17:59:59Z,2026-06-23T17:57:43.818018Z,2026-06-23T17:57:43.818018Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T17:50:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T17:54:59Z,2026-06-23T17:51:44.202047Z,2026-06-23T17:51:44.202047Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T17:45:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T17:49:59Z,2026-06-23T17:46:59.297145Z,2026-06-23T17:46:59.297145Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T17:40:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T17:44:59Z,2026-06-23T17:42:59.969684Z,2026-06-23T17:42:59.969684Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T17:35:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T17:39:59Z,2026-06-23T17:37:33.513222Z,2026-06-23T17:37:33.513222Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T17:30:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T17:34:59Z,2026-06-23T17:32:30.051056Z,2026-06-23T17:32:30.051056Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T17:25:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T17:29:59Z,2026-06-23T17:27:48.014850Z,2026-06-23T17:27:48.014850Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T17:20:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T17:24:59Z,2026-06-23T17:21:53.088833Z,2026-06-23T17:21:53.088833Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T17:15:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T17:19:59Z,2026-06-23T17:17:10.369741Z,2026-06-23T17:17:10.369741Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T17:10:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T17:14:59Z,2026-06-23T17:12:09.228186Z,2026-06-23T17:12:09.228186Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T17:05:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T17:09:59Z,2026-06-23T17:07:05.950340Z,2026-06-23T17:07:05.950340Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T17:00:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T17:04:59Z,2026-06-23T17:03:19.378069Z,2026-06-23T17:03:19.378069Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T16:55:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T16:59:59Z,2026-06-23T16:57:07.403233Z,2026-06-23T16:57:07.403233Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T16:50:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T16:54:59Z,2026-06-23T16:52:23.011443Z,2026-06-23T16:52:23.011443Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T16:45:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T16:49:59Z,2026-06-23T16:47:19.316955Z,2026-06-23T16:47:19.316955Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T16:40:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T16:44:59Z,2026-06-23T16:42:35.329643Z,2026-06-23T16:42:35.329643Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T16:35:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T16:39:59Z,2026-06-23T16:37:40.008903Z,2026-06-23T16:37:40.008903Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T16:30:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T16:34:59Z,2026-06-23T16:32:30.764207Z,2026-06-23T16:32:30.764207Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T16:25:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T16:29:59Z,2026-06-23T16:27:36.055375Z,2026-06-23T16:27:36.055375Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T16:20:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T16:24:59Z,2026-06-23T16:23:17.975540Z,2026-06-23T16:23:17.975540Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T16:15:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T16:19:59Z,2026-06-23T16:17:46.793088Z,2026-06-23T16:17:46.793088Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T16:10:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T16:14:59Z,2026-06-23T16:12:45.924066Z,2026-06-23T16:12:45.924066Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T16:05:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T16:09:59Z,2026-06-23T16:08:26.815290Z,2026-06-23T16:08:26.815290Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T16:00:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T16:04:59Z,2026-06-23T16:03:55.855645Z,2026-06-23T16:03:55.855645Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T15:55:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T15:59:59Z,2026-06-23T15:58:04.497555Z,2026-06-23T15:58:04.497555Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T15:50:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T15:54:59Z,2026-06-23T15:52:50.267486Z,2026-06-23T15:52:50.267486Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T15:45:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T15:49:59Z,2026-06-23T15:48:24.264366Z,2026-06-23T15:48:24.264366Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T15:40:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T15:44:59Z,2026-06-23T15:42:37.489927Z,2026-06-23T15:42:37.489927Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T15:35:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T15:39:59Z,2026-06-23T15:37:44.519525Z,2026-06-23T15:37:44.519525Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T15:30:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T15:34:59Z,2026-06-23T15:31:48.660713Z,2026-06-23T15:31:48.660713Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T15:25:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T15:29:59Z,2026-06-23T15:27:10.207587Z,2026-06-23T15:27:10.207587Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T15:20:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T15:24:59Z,2026-06-23T15:22:29.183676Z,2026-06-23T15:22:29.183676Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T15:15:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T15:19:59Z,2026-06-23T15:16:55.002237Z,2026-06-23T15:16:55.002237Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T15:10:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T15:14:59Z,2026-06-23T15:12:13.267554Z,2026-06-23T15:12:13.267554Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T15:05:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T15:09:59Z,2026-06-23T15:07:25.380040Z,2026-06-23T15:07:25.380040Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T15:00:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T15:04:59Z,2026-06-23T15:02:45.523503Z,2026-06-23T15:02:45.523503Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T14:55:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T14:59:59Z,2026-06-23T14:57:04.051040Z,2026-06-23T14:57:04.051040Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T14:50:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T14:54:59Z,2026-06-23T14:52:20.278699Z,2026-06-23T14:52:20.278699Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T14:45:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T14:49:59Z,2026-06-23T14:47:30.703367Z,2026-06-23T14:47:30.703367Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T14:40:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T14:44:59Z,2026-06-23T14:41:50.939604Z,2026-06-23T14:41:50.939604Z,cached_table_bar_end_ts
