slot_decision_explanation_id,lifecycle_id,symbol,entry_ts,entry_ts_utc,theme_id,split_name,candidate_role,slot_claim_basis,slot_risk_basis,replacement_hurdle_required_flag,same_entry_candidate_count,same_entry_theme_count,same_entry_relation_count,active_theme_count,active_relation_count,bundle_assignment_ready_flag,do_not_trade_reason,setup_quality_bucket,action_family,allowed_inputs_only_flag,outcome_used_flag,future_price_used_flag,label_used_flag
TASK617|GE|20240410T133000Z|slot_decision_explanation,TASK617|GE|20240410T133000Z,GE,2024-04-12 14:30:00+00:00,2024-04-10 13:30:00+00:00,industrial_automation_robotics,train_design,normal_candidate,setup=research_only_setup|catalyst=guidance_margin_upgrade|price=price_confirmed_basic|theme=participating_theme|relation=relation_sparse_research_only,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=proxy_neutral|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,research_only_setup,RESEARCH_ONLY,1,0,0,0
TASK617|GE|20240411T171500Z|slot_decision_explanation,TASK617|GE|20240411T171500Z,GE,2024-04-15 14:30:00+00:00,2024-04-11 17:15:00+00:00,industrial_automation_robotics,train_design,priority_candidate,setup=high_quality_setup|catalyst=guidance_margin_upgrade|price=price_confirmed_basic|theme=participating_theme|relation=relation_reinforcing,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=proxy_neutral|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,high_quality_setup,STRENGTH_HOLD_CANDIDATE,1,0,0,0
TASK617|GE|20240416T134500Z|slot_decision_explanation,TASK617|GE|20240416T134500Z,GE,2024-04-18 14:30:00+00:00,2024-04-16 13:45:00+00:00,industrial_automation_robotics,train_design,normal_candidate,setup=research_only_setup|catalyst=guidance_margin_upgrade|price=price_confirmed_basic|theme=fading_leadership|relation=relation_sparse_research_only,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=market_stress_proxy|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,research_only_setup,RESEARCH_ONLY,1,0,0,0
TASK617|ASTS|20240625T140000Z|slot_decision_explanation,TASK617|ASTS|20240625T140000Z,ASTS,2024-06-27 14:30:00+00:00,2024-06-25 14:00:00+00:00,aerospace_defense_space,train_design,priority_candidate,setup=high_quality_setup|catalyst=contract_customer_backlog|price=price_confirmed_basic|theme=emerging_leadership|relation=company_price_confirmed_macro_secondary,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=proxy_neutral|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,high_quality_setup,BASELINE_ALLOWED,1,0,0,0
TASK617|ASTS|20240626T133000Z|slot_decision_explanation,TASK617|ASTS|20240626T133000Z,ASTS,2024-06-28 14:30:00+00:00,2024-06-26 13:30:00+00:00,aerospace_defense_space,train_design,priority_candidate,setup=high_quality_setup|catalyst=contract_customer_backlog|price=price_confirmed_but_extended|theme=emerging_leadership|relation=company_price_confirmed_macro_secondary,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=extension_proxy|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,high_quality_setup,BASELINE_ALLOWED,1,0,0,0
TASK617|ASTS|20240627T133000Z|slot_decision_explanation,TASK617|ASTS|20240627T133000Z,ASTS,2024-07-01 14:30:00+00:00,2024-06-27 13:30:00+00:00,aerospace_defense_space,train_design,confirmation_required_candidate,setup=medium_quality_setup|catalyst=contract_customer_backlog|price=price_confirmed_but_extended|theme=participating_theme|relation=company_price_confirmed_macro_secondary,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=extension_proxy|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,medium_quality_setup,BASELINE_ALLOWED,1,0,0,0
TASK617|ASTS|20240731T133000Z|slot_decision_explanation,TASK617|ASTS|20240731T133000Z,ASTS,2024-08-02 14:30:00+00:00,2024-07-31 13:30:00+00:00,aerospace_defense_space,train_design,priority_candidate,setup=high_quality_setup|catalyst=contract_customer_backlog|price=price_confirmed_basic|theme=persistent_leadership|relation=company_price_confirmed_macro_secondary,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=high_liquidity_momentum_proxy|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,high_quality_setup,BASELINE_ALLOWED,1,0,0,0
TASK617|ASTS|20240801T140000Z|slot_decision_explanation,TASK617|ASTS|20240801T140000Z,ASTS,2024-08-05 14:30:00+00:00,2024-08-01 14:00:00+00:00,aerospace_defense_space,train_design,priority_candidate,setup=high_quality_setup|catalyst=contract_customer_backlog|price=price_confirmed_but_extended|theme=persistent_leadership|relation=company_price_confirmed_macro_secondary,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=extension_proxy|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,high_quality_setup,BASELINE_ALLOWED,1,0,0,0
TASK617|ASTS|20240805T133000Z|slot_decision_explanation,TASK617|ASTS|20240805T133000Z,ASTS,2024-08-07 14:30:00+00:00,2024-08-05 13:30:00+00:00,aerospace_defense_space,train_design,priority_candidate,setup=high_quality_setup|catalyst=contract_customer_backlog|price=price_confirmed_basic|theme=persistent_leadership|relation=company_price_confirmed_macro_secondary,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=market_stress_proxy|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,high_quality_setup,BASELINE_ALLOWED,1,0,0,0
TASK617|ASTS|20240806T143000Z|slot_decision_explanation,TASK617|ASTS|20240806T143000Z,ASTS,2024-08-08 14:30:00+00:00,2024-08-06 14:30:00+00:00,aerospace_defense_space,train_design,priority_candidate,setup=high_quality_setup|catalyst=contract_customer_backlog|price=price_accepted_needs_confirmation|theme=persistent_leadership|relation=company_price_confirmed_macro_secondary,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=market_stress_proxy|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,high_quality_setup,BASELINE_ALLOWED,1,0,0,0
TASK617|ASTS|20240807T133000Z|slot_decision_explanation,TASK617|ASTS|20240807T133000Z,ASTS,2024-08-09 14:30:00+00:00,2024-08-07 13:30:00+00:00,aerospace_defense_space,train_design,priority_candidate,setup=high_quality_setup|catalyst=contract_customer_backlog|price=price_confirmed_basic|theme=persistent_leadership|relation=company_price_confirmed_macro_secondary,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=market_stress_proxy|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,high_quality_setup,BASELINE_ALLOWED,1,0,0,0
TASK617|ASTS|20240808T150000Z|slot_decision_explanation,TASK617|ASTS|20240808T150000Z,ASTS,2024-08-12 14:30:00+00:00,2024-08-08 15:00:00+00:00,aerospace_defense_space,train_design,priority_candidate,setup=high_quality_setup|catalyst=contract_customer_backlog|price=price_confirmed_basic|theme=persistent_leadership|relation=company_price_confirmed_macro_secondary,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=market_stress_proxy|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,high_quality_setup,BASELINE_ALLOWED,1,0,0,0
TASK617|ASTS|20240909T133000Z|slot_decision_explanation,TASK617|ASTS|20240909T133000Z,ASTS,2024-09-11 14:30:00+00:00,2024-09-09 13:30:00+00:00,aerospace_defense_space,train_design,priority_candidate,setup=high_quality_setup|catalyst=contract_customer_backlog|price=price_confirmed_basic|theme=participating_theme|relation=company_price_confirmed_macro_secondary,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=proxy_neutral|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,high_quality_setup,BASELINE_ALLOWED,1,0,0,0
TASK617|RKLB|20240910T191500Z|slot_decision_explanation,TASK617|RKLB|20240910T191500Z,RKLB,2024-09-12 14:30:00+00:00,2024-09-10 19:15:00+00:00,aerospace_defense_space,train_design,research_only,setup=fragile_setup|catalyst=contract_supply_combo|price=price_fragile_or_unconfirmed|theme=participating_theme|relation=company_positive_confirmation_needed,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=proxy_neutral|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,fragile_setup,BASELINE_ALLOWED,1,0,0,0
TASK617|RKLB|20240911T133000Z|slot_decision_explanation,TASK617|RKLB|20240911T133000Z,RKLB,2024-09-13 14:30:00+00:00,2024-09-11 13:30:00+00:00,aerospace_defense_space,train_design,confirmation_required_candidate,setup=medium_quality_setup|catalyst=contract_supply_combo|price=price_confirmed_basic|theme=participating_theme|relation=company_positive_confirmation_needed,capacity=slot_competition_low|same_entry_candidates=2|active_relations=0|risk=proxy_neutral|microstructure=SOURCE_PENDING_NOT_USED,0,2,2,1,0,0,1,,medium_quality_setup,BASELINE_ALLOWED,1,0,0,0
TASK617|ASTS|20240911T141500Z|slot_decision_explanation,TASK617|ASTS|20240911T141500Z,ASTS,2024-09-13 14:30:00+00:00,2024-09-11 14:15:00+00:00,aerospace_defense_space,train_design,normal_candidate,setup=research_only_setup|catalyst=contract_customer_backlog|price=price_confirmed_but_extended|theme=participating_theme|relation=relation_sparse_research_only,capacity=slot_competition_low|same_entry_candidates=2|active_relations=0|risk=extension_proxy|microstructure=SOURCE_PENDING_NOT_USED,0,2,2,1,0,0,1,,research_only_setup,RESEARCH_ONLY,1,0,0,0
TASK617|RKLB|20240912T173000Z|slot_decision_explanation,TASK617|RKLB|20240912T173000Z,RKLB,2024-09-16 14:30:00+00:00,2024-09-12 17:30:00+00:00,aerospace_defense_space,train_design,research_only,setup=fragile_setup|catalyst=contract_supply_combo|price=price_fragile_or_unconfirmed|theme=participating_theme|relation=company_positive_confirmation_needed,capacity=slot_competition_low|same_entry_candidates=2|active_relations=0|risk=extension_proxy|microstructure=SOURCE_PENDING_NOT_USED,0,2,2,1,0,0,1,,fragile_setup,BASELINE_ALLOWED,1,0,0,0
TASK617|ASTS|20240912T191500Z|slot_decision_explanation,TASK617|ASTS|20240912T191500Z,ASTS,2024-09-16 14:30:00+00:00,2024-09-12 19:15:00+00:00,aerospace_defense_space,train_design,normal_candidate,setup=research_only_setup|catalyst=contract_customer_backlog|price=price_accepted_needs_confirmation|theme=participating_theme|relation=relation_sparse_research_only,capacity=slot_competition_low|same_entry_candidates=2|active_relations=0|risk=extension_proxy|microstructure=SOURCE_PENDING_NOT_USED,0,2,2,1,0,0,1,,research_only_setup,RESEARCH_ONLY,1,0,0,0
TASK617|CEG|20240923T133000Z|slot_decision_explanation,TASK617|CEG|20240923T133000Z,CEG,2024-09-25 14:30:00+00:00,2024-09-23 13:30:00+00:00,power_grid_electrification,train_design,priority_candidate,setup=high_quality_setup|catalyst=contract_only|price=price_confirmed_but_extended|theme=persistent_leadership|relation=relation_reinforcing,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=extension_proxy|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,high_quality_setup,STRENGTH_HOLD_CANDIDATE,1,0,0,0
TASK617|CEG|20240925T134500Z|slot_decision_explanation,TASK617|CEG|20240925T134500Z,CEG,2024-09-27 14:30:00+00:00,2024-09-25 13:45:00+00:00,power_grid_electrification,train_design,priority_candidate,setup=high_quality_setup|catalyst=contract_only|price=price_confirmed_but_extended|theme=persistent_leadership|relation=relation_reinforcing,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=extension_proxy|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,high_quality_setup,STRENGTH_HOLD_CANDIDATE,1,0,0,0
TASK617|CEG|20240930T143000Z|slot_decision_explanation,TASK617|CEG|20240930T143000Z,CEG,2024-10-02 14:30:00+00:00,2024-09-30 14:30:00+00:00,power_grid_electrification,train_design,priority_candidate,setup=high_quality_setup|catalyst=contract_only|price=price_confirmed_basic|theme=persistent_leadership|relation=relation_reinforcing,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=proxy_neutral|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,high_quality_setup,STRENGTH_HOLD_CANDIDATE,1,0,0,0
TASK617|CEG|20241001T151500Z|slot_decision_explanation,TASK617|CEG|20241001T151500Z,CEG,2024-10-03 14:30:00+00:00,2024-10-01 15:15:00+00:00,power_grid_electrification,train_design,priority_candidate,setup=high_quality_setup|catalyst=contract_only|price=price_confirmed_but_extended|theme=persistent_leadership|relation=relation_reinforcing,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=extension_proxy|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,high_quality_setup,STRENGTH_HOLD_CANDIDATE,1,0,0,0
TASK617|CEG|20241002T140000Z|slot_decision_explanation,TASK617|CEG|20241002T140000Z,CEG,2024-10-04 14:30:00+00:00,2024-10-02 14:00:00+00:00,power_grid_electrification,train_design,priority_candidate,setup=high_quality_setup|catalyst=contract_only|price=price_confirmed_basic|theme=persistent_leadership|relation=relation_reinforcing,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=proxy_neutral|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,high_quality_setup,STRENGTH_HOLD_CANDIDATE,1,0,0,0
TASK617|CEG|20241003T141500Z|slot_decision_explanation,TASK617|CEG|20241003T141500Z,CEG,2024-10-07 14:30:00+00:00,2024-10-03 14:15:00+00:00,power_grid_electrification,train_design,priority_candidate,setup=high_quality_setup|catalyst=contract_customer_backlog|price=price_confirmed_basic|theme=persistent_leadership|relation=relation_offsetting,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=proxy_neutral|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,high_quality_setup,REDUCE_DURATION,1,0,0,0
TASK617|RTX|20241023T170000Z|slot_decision_explanation,TASK617|RTX|20241023T170000Z,RTX,2024-10-25 14:30:00+00:00,2024-10-23 17:00:00+00:00,aerospace_defense_space,train_design,priority_candidate,setup=high_quality_setup|catalyst=contract_customer_backlog|price=price_confirmed_but_extended|theme=participating_theme|relation=company_price_confirmed_macro_secondary,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=extension_proxy|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,high_quality_setup,BASELINE_ALLOWED,1,0,0,0
TASK617|TEAM|20241104T151500Z|slot_decision_explanation,TASK617|TEAM|20241104T151500Z,TEAM,2024-11-06 14:30:00+00:00,2024-11-04 15:15:00+00:00,data_devops_software,train_design,priority_candidate,setup=high_quality_setup|catalyst=contract_customer_backlog|price=price_confirmed_basic|theme=participating_theme|relation=relation_reinforcing,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=proxy_neutral|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,high_quality_setup,STRENGTH_HOLD_CANDIDATE,1,0,0,0
TASK617|TEAM|20241105T181500Z|slot_decision_explanation,TASK617|TEAM|20241105T181500Z,TEAM,2024-11-07 14:30:00+00:00,2024-11-05 18:15:00+00:00,data_devops_software,train_design,normal_candidate,setup=research_only_setup|catalyst=contract_customer_backlog|price=price_confirmed_basic|theme=persistent_leadership|relation=relation_sparse_research_only,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=proxy_neutral|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,research_only_setup,RESEARCH_ONLY,1,0,0,0
TASK617|TEAM|20241106T143000Z|slot_decision_explanation,TASK617|TEAM|20241106T143000Z,TEAM,2024-11-08 14:30:00+00:00,2024-11-06 14:30:00+00:00,data_devops_software,train_design,normal_candidate,setup=research_only_setup|catalyst=contract_customer_backlog|price=price_confirmed_basic|theme=participating_theme|relation=relation_sparse_research_only,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=proxy_neutral|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,research_only_setup,RESEARCH_ONLY,1,0,0,0
TASK617|TEAM|20241107T144500Z|slot_decision_explanation,TASK617|TEAM|20241107T144500Z,TEAM,2024-11-11 14:30:00+00:00,2024-11-07 14:45:00+00:00,data_devops_software,train_design,normal_candidate,setup=research_only_setup|catalyst=contract_customer_backlog|price=price_confirmed_basic|theme=participating_theme|relation=relation_sparse_research_only,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=proxy_neutral|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,research_only_setup,RESEARCH_ONLY,1,0,0,0
TASK617|TEAM|20241111T151500Z|slot_decision_explanation,TASK617|TEAM|20241111T151500Z,TEAM,2024-11-13 14:30:00+00:00,2024-11-11 15:15:00+00:00,data_devops_software,train_design,normal_candidate,setup=research_only_setup|catalyst=contract_customer_backlog|price=price_confirmed_basic|theme=participating_theme|relation=relation_sparse_research_only,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=proxy_neutral|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,research_only_setup,RESEARCH_ONLY,1,0,0,0
TASK617|TEAM|20241113T143000Z|slot_decision_explanation,TASK617|TEAM|20241113T143000Z,TEAM,2024-11-15 14:30:00+00:00,2024-11-13 14:30:00+00:00,data_devops_software,train_design,normal_candidate,setup=research_only_setup|catalyst=contract_customer_backlog|price=price_confirmed_basic|theme=persistent_leadership|relation=relation_sparse_research_only,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=proxy_neutral|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,research_only_setup,RESEARCH_ONLY,1,0,0,0
TASK617|TEAM|20241114T164500Z|slot_decision_explanation,TASK617|TEAM|20241114T164500Z,TEAM,2024-11-18 14:30:00+00:00,2024-11-14 16:45:00+00:00,data_devops_software,train_design,normal_candidate,setup=research_only_setup|catalyst=contract_customer_backlog|price=price_confirmed_basic|theme=persistent_leadership|relation=relation_sparse_research_only,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=proxy_neutral|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,research_only_setup,RESEARCH_ONLY,1,0,0,0
TASK617|DDOG|20241216T144500Z|slot_decision_explanation,TASK617|DDOG|20241216T144500Z,DDOG,2024-12-18 14:30:00+00:00,2024-12-16 14:45:00+00:00,data_devops_software,train_design,priority_candidate,setup=high_quality_setup|catalyst=contract_supply_combo|price=price_confirmed_but_extended|theme=participating_theme|relation=relation_reinforcing,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=extension_proxy|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,high_quality_setup,STRENGTH_HOLD_CANDIDATE,1,0,0,0
TASK617|DDOG|20241217T154500Z|slot_decision_explanation,TASK617|DDOG|20241217T154500Z,DDOG,2024-12-19 14:30:00+00:00,2024-12-17 15:45:00+00:00,data_devops_software,train_design,normal_candidate,setup=research_only_setup|catalyst=contract_supply_combo|price=price_fragile_or_unconfirmed|theme=persistent_leadership|relation=relation_sparse_research_only,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=proxy_neutral|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,research_only_setup,RESEARCH_ONLY,1,0,0,0
TASK617|CEG|20250115T144500Z|slot_decision_explanation,TASK617|CEG|20250115T144500Z,CEG,2025-01-17 14:30:00+00:00,2025-01-15 14:45:00+00:00,power_grid_electrification,train_design,confirmation_required_candidate,setup=medium_quality_setup|catalyst=guidance_margin_upgrade|price=price_confirmed_basic|theme=participating_theme|relation=relation_offsetting,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=market_stress_proxy|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,medium_quality_setup,REDUCE_DURATION,1,0,0,0
TASK617|CEG|20250116T160000Z|slot_decision_explanation,TASK617|CEG|20250116T160000Z,CEG,2025-01-21 14:30:00+00:00,2025-01-16 16:00:00+00:00,power_grid_electrification,train_design,confirmation_required_candidate,setup=medium_quality_setup|catalyst=guidance_margin_upgrade|price=price_confirmed_basic|theme=participating_theme|relation=relation_offsetting,capacity=slot_competition_low|same_entry_candidates=1|active_relations=0|risk=market_stress_proxy|microstructure=SOURCE_PENDING_NOT_USED,0,1,1,1,0,0,1,,medium_quality_setup,REDUCE_DURATION,1,0,0,0
TASK617|RKLB|20250121T143000Z|slot_decision_explanation,TASK617|RKLB|20250121T143000Z,RKLB,2025-01-23 14:30:00+00:00,2025-01-21 14:30:00+00:00,aerospace_defense_space,train_design,priority_candidate,setup=high_quality_setup|catalyst=contract_customer_backlog|price=price_confirmed_but_extended|theme=participating_theme|relation=company_price_confirmed_macro_secondary,capacity=slot_competition_very_high|same_entry_candidates=29|active_relations=0|risk=extension_proxy|microstructure=SOURCE_PENDING_NOT_USED,1,29,6,15,0,0,1,,high_quality_setup,BASELINE_ALLOWED,1,0,0,0
TASK617|GD|20250121T143000Z|slot_decision_explanation,TASK617|GD|20250121T143000Z,GD,2025-01-23 14:30:00+00:00,2025-01-21 14:30:00+00:00,aerospace_defense_space,train_design,priority_candidate,setup=high_quality_setup|catalyst=contract_customer_backlog|price=price_confirmed_basic|theme=participating_theme|relation=company_price_confirmed_macro_secondary,capacity=slot_competition_very_high|same_entry_candidates=29|active_relations=0|risk=proxy_neutral|microstructure=SOURCE_PENDING_NOT_USED,1,29,6,15,0,0,1,,high_quality_setup,BASELINE_ALLOWED,1,0,0,0
