path,tracked,git_status,category,recommended_action,destructive_action_permitted,notes
data/artifacts/task_3836_frontend_actual_screenshot_capture/after/portfolio__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after/position-detail__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after/position-detail__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after/screenshot_capture_manifest_after.json,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after/system__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after/system__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after2/brain__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after2/brain__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after2/candidate-detail__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after2/candidate-detail__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after2/chain-detail__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after2/chain-detail__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after2/contact_sheet_iphone15_width_after2.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after2/home__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after2/home__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after2/order-detail__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after2/order-detail__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after2/orders__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after2/orders__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after2/portfolio__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after2/portfolio__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after2/position-detail__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after2/position-detail__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after2/screenshot_capture_manifest_after2.json,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after2/system__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/after2/system__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/brain__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/brain__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/candidate-detail__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/candidate-detail__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/chain-detail__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/chain-detail__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/contact_sheet_iphone15_width.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/home__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/home__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/order-detail__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/order-detail__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/orders__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/orders__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/portfolio__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/portfolio__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/position-detail__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/position-detail__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/screenshot_capture_manifest.json,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/system__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3836_frontend_actual_screenshot_capture/system__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3839_frontend_qa_to_v1_10_loop/ios_capture_feasibility.json,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3839_frontend_qa_to_v1_10_loop/screenshots/brain__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3839_frontend_qa_to_v1_10_loop/screenshots/brain__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3839_frontend_qa_to_v1_10_loop/screenshots/candidate-detail__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3839_frontend_qa_to_v1_10_loop/screenshots/candidate-detail__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3839_frontend_qa_to_v1_10_loop/screenshots/chain-detail__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3839_frontend_qa_to_v1_10_loop/screenshots/chain-detail__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3839_frontend_qa_to_v1_10_loop/screenshots/contact_sheet_iphone15_width_task3839.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3839_frontend_qa_to_v1_10_loop/screenshots/home__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3839_frontend_qa_to_v1_10_loop/screenshots/home__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3839_frontend_qa_to_v1_10_loop/screenshots/order-detail__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3839_frontend_qa_to_v1_10_loop/screenshots/order-detail__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3839_frontend_qa_to_v1_10_loop/screenshots/orders__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3839_frontend_qa_to_v1_10_loop/screenshots/orders__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3839_frontend_qa_to_v1_10_loop/screenshots/portfolio__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3839_frontend_qa_to_v1_10_loop/screenshots/portfolio__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3839_frontend_qa_to_v1_10_loop/screenshots/position-detail__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3839_frontend_qa_to_v1_10_loop/screenshots/position-detail__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3839_frontend_qa_to_v1_10_loop/screenshots/screenshot_capture_manifest_task3839.json,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3839_frontend_qa_to_v1_10_loop/screenshots/system__iphone-15-width__393x852.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3839_frontend_qa_to_v1_10_loop/screenshots/system__iphone-se-width__375x667.png,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3845_source_authority_gate_10_loop/authority_ledger_summary.csv,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3845_source_authority_gate_10_loop/broker_truth_gap_matrix.csv,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3845_source_authority_gate_10_loop/kill_switch_audit.csv,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3845_source_authority_gate_10_loop/native_ios_build_evidence_plan.csv,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3845_source_authority_gate_10_loop/native_ios_evidence_plan.csv,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3845_source_authority_gate_10_loop/native_ios_screenshot_evidence_plan.csv,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3845_source_authority_gate_10_loop/paper_gate_blocker_matrix.csv,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3845_source_authority_gate_10_loop/repo_census_summary.csv,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3845_source_authority_gate_10_loop/scope_phase_map.csv,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3845_source_authority_gate_10_loop/sec_hybrid_provider_chain.csv,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3845_source_authority_gate_10_loop/source_authority_gate_state.json,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
data/artifacts/task_3845_source_authority_gate_10_loop/source_inventory.csv,true,tracked,generated_artifact,MANIFEST_AND_IGNORE_REVIEW,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/architecture_normalization_report.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/backtest_strategy_status_2026-05-02.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/daily_feedback_2026-05-21/artifact_manifest.csv,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/daily_feedback_2026-05-21/daily_feedback_2026-05-21.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/daily_feedback_2026-05-23/artifact_manifest.csv,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/daily_feedback_2026-05-23/daily_feedback_2026-05-23.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/daily_feedback_2026-05-24/artifact_manifest.csv,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/daily_feedback_2026-05-24/daily_feedback_2026-05-24.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/daily_feedback_2026-05-25/artifact_manifest.csv,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/daily_feedback_2026-05-25/daily_feedback_2026-05-25.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/daily_feedback_2026-05-25/slack_report_2026-05-25.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/daily_feedback_2026-05-27/artifact_manifest.csv,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/daily_feedback_2026-05-27/daily_feedback_2026-05-27.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/daily_feedback_2026-05-27/slack_report_2026-05-27.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/daily_feedback_2026-05-28/artifact_manifest.csv,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/daily_feedback_2026-05-28/daily_feedback_2026-05-28.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/daily_feedback_2026-05-28/slack_report_2026-05-28.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/daily_feedback_2026-06-02/artifact_manifest.csv,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/daily_feedback_2026-06-02/daily_feedback_2026-06-02.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/daily_feedback_2026-06-02/slack_report_2026-06-02.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/daily_feedback_2026-06-03/artifact_manifest.csv,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/daily_feedback_2026-06-03/daily_feedback_2026-06-03.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/daily_feedback_2026-06-03/slack_report_2026-06-03.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/daily_feedback_2026-06-04/artifact_manifest.csv,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/daily_feedback_2026-06-04/daily_feedback_2026-06-04.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/daily_feedback_2026-06-04/slack_report_2026-06-04.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/daily_feedback_2026-06-06/artifact_manifest.csv,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/daily_feedback_2026-06-06/daily_feedback_2026-06-06.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/daily_feedback_2026-06-06/slack_report_2026-06-06.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/daily_feedback_team_summary_2026-06-02/artifact_manifest.csv,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/daily_feedback_team_summary_2026-06-02/daily_feedback_team_summary_2026-06-02.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/ops/task_log_2026-04-24.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/ops/task_log_2026-04-25.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/pilot_kpi_gate.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/task_066b/task_066B_final_validation_time_stop_only.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/task_066b/task_066_final_validation_limited_chase.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/task_067/task_067_stop_loss_structure.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/task_068/task_068_risk_model_layer.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/task_068b/task_068B_risk_grid.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/task_076/task_076_minimal_regime_entry_gate.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/task_076/task_076_review.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/task_077/task_077_gate_revalidation.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/task_078/task_078_regime_decomposition.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
docs/reports/task_080/task_080_paper_one_shot.md,true,tracked,task_report,KEEP_IF_TASK_CANONICAL,false,"Classification only; do not remove, move, or rewrite from this output."
