journal_id,run_id,decision_timestamp,policy_id,decision_id,symbol,side,order_intent_id,source_ids,thesis_id,risk_state,source_time_status,decision_state,journal_action,no_trade_reason,paper_fill_status,reduce_exit_reason,outcome_used_for_assignment,assignment_uses_future_outcome,real_capital
SHADOWJOURNAL-00028,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,GEV,NONE,,2026-06-26T15:03:30.588430Z:GEV,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00029,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,GM,NONE,,2026-06-26T15:03:30.588430Z:GM,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00030,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,GTLB,NONE,,2026-06-26T15:03:30.588430Z:GTLB,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00031,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,HON,NONE,,2026-06-26T15:03:30.588430Z:HON,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00032,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,HOOD,NONE,,2026-06-26T15:03:30.588430Z:HOOD,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00033,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,IBIT,NONE,,2026-06-26T15:03:30.588430Z:IBIT,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00034,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,IR,NONE,,2026-06-26T15:03:30.588430Z:IR,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00035,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,ISRG,NONE,,2026-06-26T15:03:30.588430Z:ISRG,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00036,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,LCID,NONE,,2026-06-26T15:03:30.588430Z:LCID,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00037,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,LLY,NONE,,2026-06-26T15:03:30.588430Z:LLY,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00038,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,LMT,NONE,,2026-06-26T15:03:30.588430Z:LMT,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00039,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,MBLY,NONE,,2026-06-26T15:03:30.588430Z:MBLY,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00040,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,MDB,NONE,,2026-06-26T15:03:30.588430Z:MDB,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00041,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,MRNA,NONE,,2026-06-26T15:03:30.588430Z:MRNA,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00042,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,MRVL,NONE,,2026-06-26T15:03:30.588430Z:MRVL,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00043,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,MSTR,NONE,,2026-06-26T15:03:30.588430Z:MSTR,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00044,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,NEE,NONE,,2026-06-26T15:03:30.588430Z:NEE,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00045,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,NET,NONE,,2026-06-26T15:03:30.588430Z:NET,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00046,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,NOC,NONE,,2026-06-26T15:03:30.588430Z:NOC,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00047,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,NOW,NONE,,2026-06-26T15:03:30.588430Z:NOW,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00048,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,NVO,NONE,,2026-06-26T15:03:30.588430Z:NVO,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00049,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,OKTA,NONE,,2026-06-26T15:03:30.588430Z:OKTA,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00050,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,ORCL,NONE,,2026-06-26T15:03:30.588430Z:ORCL,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00051,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,PANW,NONE,,2026-06-26T15:03:30.588430Z:PANW,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00052,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,PH,NONE,,2026-06-26T15:03:30.588430Z:PH,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00053,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,PLTR,NONE,,2026-06-26T15:03:30.588430Z:PLTR,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00054,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,PWR,NONE,,2026-06-26T15:03:30.588430Z:PWR,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00055,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,PYPL,NONE,,2026-06-26T15:03:30.588430Z:PYPL,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00056,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,REGN,NONE,,2026-06-26T15:03:30.588430Z:REGN,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00057,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,RIVN,NONE,,2026-06-26T15:03:30.588430Z:RIVN,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00058,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,RKLB,NONE,,2026-06-26T15:03:30.588430Z:RKLB,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00059,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,ROK,NONE,,2026-06-26T15:03:30.588430Z:ROK,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00060,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,RTX,NONE,,2026-06-26T15:03:30.588430Z:RTX,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00061,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,S,NONE,,2026-06-26T15:03:30.588430Z:S,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00062,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,SNOW,NONE,,2026-06-26T15:03:30.588430Z:SNOW,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00063,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,SOFI,NONE,,2026-06-26T15:03:30.588430Z:SOFI,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00064,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,TEAM,NONE,,2026-06-26T15:03:30.588430Z:TEAM,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00065,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,TER,NONE,,2026-06-26T15:03:30.588430Z:TER,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00066,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,TSM,NONE,,2026-06-26T15:03:30.588430Z:TSM,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00067,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,UBER,NONE,,2026-06-26T15:03:30.588430Z:UBER,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00068,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,VRT,NONE,,2026-06-26T15:03:30.588430Z:VRT,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00069,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,VRTX,NONE,,2026-06-26T15:03:30.588430Z:VRTX,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00070,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,VST,NONE,,2026-06-26T15:03:30.588430Z:VST,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
SHADOWJOURNAL-00071,SHADOW-2026-06-26T15:04:46.550840+00:00,2026-06-26T15:04:46.550840+00:00,runtime_no_trade_decomposition_v1,,ZS,NONE,,2026-06-26T15:03:30.588430Z:ZS,,,UNKNOWN_SOURCE_FRESHNESS,NO_TRADE,NO_TRADE,,NOT_SENT,,0,0,FORBIDDEN
