candidate_id,source_family,issue_type,evidence_file,current_status,cleanup_action_type,destructive_action_required,implement_now_allowed,blocker_reason,notes
cleanup-016,daily_ohlcv,PROXY_GATE_CLOSED,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,0,REPORT_ONLY_CLASSIFICATION,false,true,cached daily_ohlcv provider acquisition evidence; gates remain closed until certification,Keep proxy gate closed until independent certification exists.
cleanup-017,daily_ohlcv,DIAGNOSTIC_LEDGER_ONLY,data/artifacts/task_3845_source_authority_gate_10_loop/authority_ledger_summary.csv,PASS_DIAGNOSTIC,REPORT_ONLY_CLASSIFICATION,false,true,cached daily_ohlcv provider acquisition evidence; gates remain closed until certification,"Treat diagnostic receipts, hashes, and lineage as evidence inputs only."
cleanup-018,diagnostic_runtime_heartbeats,AUTHORITY_STATUS_BLOCKED,data/artifacts/task_3845_source_authority_gate_10_loop/source_inventory.csv,BLOCKED,REPORT_ONLY_CLASSIFICATION,false,true,updated by diagnostic-only registered loop heartbeat,Classify why authority remains blocked before any gate discussion.
cleanup-019,diagnostic_runtime_heartbeats,STRICT_GATE_CLOSED,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,0,REPORT_ONLY_CLASSIFICATION,false,true,updated by diagnostic-only registered loop heartbeat,Keep strict gate closed until independent certification exists.
cleanup-020,diagnostic_runtime_heartbeats,PROXY_GATE_CLOSED,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,0,REPORT_ONLY_CLASSIFICATION,false,true,updated by diagnostic-only registered loop heartbeat,Keep proxy gate closed until independent certification exists.
cleanup-021,diagnostic_runtime_heartbeats,DIAGNOSTIC_LEDGER_ONLY,data/artifacts/task_3845_source_authority_gate_10_loop/authority_ledger_summary.csv,PASS_DIAGNOSTIC,REPORT_ONLY_CLASSIFICATION,false,true,updated by diagnostic-only registered loop heartbeat,"Treat diagnostic receipts, hashes, and lineage as evidence inputs only."
cleanup-022,frontend_read_models,AUTHORITY_STATUS_BLOCKED,data/artifacts/task_3845_source_authority_gate_10_loop/source_inventory.csv,BLOCKED,REPORT_ONLY_CLASSIFICATION,false,true,derived read-only artifact lineage only; not source truth,Classify why authority remains blocked before any gate discussion.
cleanup-023,frontend_read_models,FRESHNESS_STATUS_BLOCKED,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,STALE,REPORT_ONLY_CLASSIFICATION,false,true,derived read-only artifact lineage only; not source truth,Classify stale/missing/current evidence without converting it to permission.
cleanup-024,frontend_read_models,STRICT_GATE_CLOSED,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,0,REPORT_ONLY_CLASSIFICATION,false,true,derived read-only artifact lineage only; not source truth,Keep strict gate closed until independent certification exists.
cleanup-025,frontend_read_models,PROXY_GATE_CLOSED,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,0,REPORT_ONLY_CLASSIFICATION,false,true,derived read-only artifact lineage only; not source truth,Keep proxy gate closed until independent certification exists.
cleanup-026,frontend_read_models,DIAGNOSTIC_LEDGER_ONLY,data/artifacts/task_3845_source_authority_gate_10_loop/authority_ledger_summary.csv,PASS_DIAGNOSTIC,REPORT_ONLY_CLASSIFICATION,false,true,derived read-only artifact lineage only; not source truth,"Treat diagnostic receipts, hashes, and lineage as evidence inputs only."
cleanup-027,indicator_snapshots,AUTHORITY_STATUS_BLOCKED,data/artifacts/task_3845_source_authority_gate_10_loop/source_inventory.csv,BLOCKED,REPORT_ONLY_CLASSIFICATION,false,true,diagnostic indicator rows derived from market_bars_5m; entry_allowed and selected_for_portfolio forced to 0,Classify why authority remains blocked before any gate discussion.
cleanup-028,indicator_snapshots,FRESHNESS_STATUS_BLOCKED,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,STALE,REPORT_ONLY_CLASSIFICATION,false,true,diagnostic indicator rows derived from market_bars_5m; entry_allowed and selected_for_portfolio forced to 0,Classify stale/missing/current evidence without converting it to permission.
cleanup-029,indicator_snapshots,STRICT_GATE_CLOSED,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,0,REPORT_ONLY_CLASSIFICATION,false,true,diagnostic indicator rows derived from market_bars_5m; entry_allowed and selected_for_portfolio forced to 0,Keep strict gate closed until independent certification exists.
cleanup-030,indicator_snapshots,PROXY_GATE_CLOSED,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,0,REPORT_ONLY_CLASSIFICATION,false,true,diagnostic indicator rows derived from market_bars_5m; entry_allowed and selected_for_portfolio forced to 0,Keep proxy gate closed until independent certification exists.
cleanup-031,indicator_snapshots,DIAGNOSTIC_LEDGER_ONLY,data/artifacts/task_3845_source_authority_gate_10_loop/authority_ledger_summary.csv,PASS_DIAGNOSTIC,REPORT_ONLY_CLASSIFICATION,false,true,diagnostic indicator rows derived from market_bars_5m; entry_allowed and selected_for_portfolio forced to 0,"Treat diagnostic receipts, hashes, and lineage as evidence inputs only."
cleanup-032,macro_rates,AUTHORITY_STATUS_BLOCKED,data/artifacts/task_3845_source_authority_gate_10_loop/source_inventory.csv,BLOCKED,REPORT_ONLY_CLASSIFICATION,false,true,cached macro_rates provider acquisition evidence; no-vintage rows remain diagnostic,Classify why authority remains blocked before any gate discussion.
cleanup-033,macro_rates,FRESHNESS_STATUS_BLOCKED,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,STALE,REPORT_ONLY_CLASSIFICATION,false,true,cached macro_rates provider acquisition evidence; no-vintage rows remain diagnostic,Classify stale/missing/current evidence without converting it to permission.
cleanup-034,macro_rates,STRICT_GATE_CLOSED,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,0,REPORT_ONLY_CLASSIFICATION,false,true,cached macro_rates provider acquisition evidence; no-vintage rows remain diagnostic,Keep strict gate closed until independent certification exists.
cleanup-035,macro_rates,PROXY_GATE_CLOSED,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,0,REPORT_ONLY_CLASSIFICATION,false,true,cached macro_rates provider acquisition evidence; no-vintage rows remain diagnostic,Keep proxy gate closed until independent certification exists.
cleanup-036,macro_rates,DIAGNOSTIC_LEDGER_ONLY,data/artifacts/task_3845_source_authority_gate_10_loop/authority_ledger_summary.csv,PASS_DIAGNOSTIC,REPORT_ONLY_CLASSIFICATION,false,true,cached macro_rates provider acquisition evidence; no-vintage rows remain diagnostic,"Treat diagnostic receipts, hashes, and lineage as evidence inputs only."
cleanup-037,market_bars_5m,AUTHORITY_STATUS_BLOCKED,data/artifacts/task_3845_source_authority_gate_10_loop/source_inventory.csv,BLOCKED,REPORT_ONLY_CLASSIFICATION,false,true,cached market_bars_5m table snapshot; live fetch disabled; stale remains blocker,Classify why authority remains blocked before any gate discussion.
cleanup-038,market_bars_5m,FRESHNESS_STATUS_BLOCKED,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,STALE,REPORT_ONLY_CLASSIFICATION,false,true,cached market_bars_5m table snapshot; live fetch disabled; stale remains blocker,Classify stale/missing/current evidence without converting it to permission.
cleanup-039,market_bars_5m,STRICT_GATE_CLOSED,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,0,REPORT_ONLY_CLASSIFICATION,false,true,cached market_bars_5m table snapshot; live fetch disabled; stale remains blocker,Keep strict gate closed until independent certification exists.
cleanup-040,market_bars_5m,PROXY_GATE_CLOSED,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,0,REPORT_ONLY_CLASSIFICATION,false,true,cached market_bars_5m table snapshot; live fetch disabled; stale remains blocker,Keep proxy gate closed until independent certification exists.
cleanup-041,market_bars_5m,DIAGNOSTIC_LEDGER_ONLY,data/artifacts/task_3845_source_authority_gate_10_loop/authority_ledger_summary.csv,PASS_DIAGNOSTIC,REPORT_ONLY_CLASSIFICATION,false,true,cached market_bars_5m table snapshot; live fetch disabled; stale remains blocker,"Treat diagnostic receipts, hashes, and lineage as evidence inputs only."
cleanup-042,market_ticks_intraday,AUTHORITY_STATUS_BLOCKED,data/artifacts/task_3845_source_authority_gate_10_loop/source_inventory.csv,BLOCKED,REPORT_ONLY_CLASSIFICATION,false,true,cached market_ticks evidence only; live fetch disabled; stale remains blocker,Classify why authority remains blocked before any gate discussion.
cleanup-043,market_ticks_intraday,FRESHNESS_STATUS_BLOCKED,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,STALE,REPORT_ONLY_CLASSIFICATION,false,true,cached market_ticks evidence only; live fetch disabled; stale remains blocker,Classify stale/missing/current evidence without converting it to permission.
cleanup-044,market_ticks_intraday,STRICT_GATE_CLOSED,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,0,REPORT_ONLY_CLASSIFICATION,false,true,cached market_ticks evidence only; live fetch disabled; stale remains blocker,Keep strict gate closed until independent certification exists.
cleanup-045,market_ticks_intraday,PROXY_GATE_CLOSED,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,0,REPORT_ONLY_CLASSIFICATION,false,true,cached market_ticks evidence only; live fetch disabled; stale remains blocker,Keep proxy gate closed until independent certification exists.
cleanup-046,market_ticks_intraday,DIAGNOSTIC_LEDGER_ONLY,data/artifacts/task_3845_source_authority_gate_10_loop/authority_ledger_summary.csv,PASS_DIAGNOSTIC,REPORT_ONLY_CLASSIFICATION,false,true,cached market_ticks evidence only; live fetch disabled; stale remains blocker,"Treat diagnostic receipts, hashes, and lineage as evidence inputs only."
cleanup-047,runtime_strategy_decisions,AUTHORITY_STATUS_BLOCKED,data/artifacts/task_3845_source_authority_gate_10_loop/source_inventory.csv,BLOCKED,REPORT_ONLY_CLASSIFICATION,false,true,diagnostic runtime decisions from indicator snapshots; quantity=0 side=NONE status=BLOCKED,Classify why authority remains blocked before any gate discussion.
cleanup-048,runtime_strategy_decisions,STRICT_GATE_CLOSED,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,0,REPORT_ONLY_CLASSIFICATION,false,true,diagnostic runtime decisions from indicator snapshots; quantity=0 side=NONE status=BLOCKED,Keep strict gate closed until independent certification exists.
cleanup-049,runtime_strategy_decisions,PROXY_GATE_CLOSED,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,0,REPORT_ONLY_CLASSIFICATION,false,true,diagnostic runtime decisions from indicator snapshots; quantity=0 side=NONE status=BLOCKED,Keep proxy gate closed until independent certification exists.
cleanup-050,runtime_strategy_decisions,DIAGNOSTIC_LEDGER_ONLY,data/artifacts/task_3845_source_authority_gate_10_loop/authority_ledger_summary.csv,PASS_DIAGNOSTIC,REPORT_ONLY_CLASSIFICATION,false,true,diagnostic runtime decisions from indicator snapshots; quantity=0 side=NONE status=BLOCKED,"Treat diagnostic receipts, hashes, and lineage as evidence inputs only."
cleanup-051,sec_events,AUTHORITY_STATUS_BLOCKED,data/artifacts/task_3845_source_authority_gate_10_loop/source_inventory.csv,BLOCKED,REPORT_ONLY_CLASSIFICATION,false,true,provider acquisition evidence attached; gates remain closed until source-time certification,Classify why authority remains blocked before any gate discussion.
cleanup-052,sec_events,FRESHNESS_STATUS_BLOCKED,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,STALE,REPORT_ONLY_CLASSIFICATION,false,true,provider acquisition evidence attached; gates remain closed until source-time certification,Classify stale/missing/current evidence without converting it to permission.
cleanup-053,sec_events,STRICT_GATE_CLOSED,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,0,REPORT_ONLY_CLASSIFICATION,false,true,provider acquisition evidence attached; gates remain closed until source-time certification,Keep strict gate closed until independent certification exists.
cleanup-054,sec_events,PROXY_GATE_CLOSED,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,0,REPORT_ONLY_CLASSIFICATION,false,true,provider acquisition evidence attached; gates remain closed until source-time certification,Keep proxy gate closed until independent certification exists.
cleanup-055,sec_events,DIAGNOSTIC_LEDGER_ONLY,data/artifacts/task_3845_source_authority_gate_10_loop/authority_ledger_summary.csv,PASS_DIAGNOSTIC,REPORT_ONLY_CLASSIFICATION,false,true,provider acquisition evidence attached; gates remain closed until source-time certification,"Treat diagnostic receipts, hashes, and lineage as evidence inputs only."
