rank,source_family,gap_type,severity,evidence_basis,required_next_evidence,allowed_next_action,forbidden_action
20,macro_rates,STRICT_GATE_CLOSED,P0_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,Independent strict-gate certification evidence; no inference from diagnostic rows.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
21,market_bars_5m,STRICT_GATE_CLOSED,P0_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,Independent strict-gate certification evidence; no inference from diagnostic rows.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
22,market_ticks_intraday,STRICT_GATE_CLOSED,P0_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,Independent strict-gate certification evidence; no inference from diagnostic rows.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
23,runtime_strategy_decisions,STRICT_GATE_CLOSED,P0_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,Independent strict-gate certification evidence; no inference from diagnostic rows.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
24,sec_events,STRICT_GATE_CLOSED,P0_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,Independent strict-gate certification evidence; no inference from diagnostic rows.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
25,authority_evidence_ledger,PROXY_GATE_CLOSED,P1_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,Independent proxy-gate certification evidence; no inference from diagnostic rows.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
26,broker_truth_reconciliation,PROXY_GATE_CLOSED,P1_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,Independent proxy-gate certification evidence; no inference from diagnostic rows.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
27,catalog_report_artifacts,PROXY_GATE_CLOSED,P1_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,Independent proxy-gate certification evidence; no inference from diagnostic rows.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
28,daily_ohlcv,PROXY_GATE_CLOSED,P1_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,Independent proxy-gate certification evidence; no inference from diagnostic rows.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
29,diagnostic_runtime_heartbeats,PROXY_GATE_CLOSED,P1_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,Independent proxy-gate certification evidence; no inference from diagnostic rows.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
30,frontend_read_models,PROXY_GATE_CLOSED,P1_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,Independent proxy-gate certification evidence; no inference from diagnostic rows.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
31,indicator_snapshots,PROXY_GATE_CLOSED,P1_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,Independent proxy-gate certification evidence; no inference from diagnostic rows.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
32,macro_rates,PROXY_GATE_CLOSED,P1_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,Independent proxy-gate certification evidence; no inference from diagnostic rows.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
33,market_bars_5m,PROXY_GATE_CLOSED,P1_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,Independent proxy-gate certification evidence; no inference from diagnostic rows.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
34,market_ticks_intraday,PROXY_GATE_CLOSED,P1_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,Independent proxy-gate certification evidence; no inference from diagnostic rows.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
35,runtime_strategy_decisions,PROXY_GATE_CLOSED,P1_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,Independent proxy-gate certification evidence; no inference from diagnostic rows.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
36,sec_events,PROXY_GATE_CLOSED,P1_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,Independent proxy-gate certification evidence; no inference from diagnostic rows.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
37,catalog_report_artifacts,FRESHNESS_STATUS_BLOCKED,P1_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,Source-specific freshness remediation evidence that preserves stale/missing as blocker until proven.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
38,frontend_read_models,FRESHNESS_STATUS_BLOCKED,P1_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,Source-specific freshness remediation evidence that preserves stale/missing as blocker until proven.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
39,indicator_snapshots,FRESHNESS_STATUS_BLOCKED,P1_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,Source-specific freshness remediation evidence that preserves stale/missing as blocker until proven.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
40,macro_rates,FRESHNESS_STATUS_BLOCKED,P1_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,Source-specific freshness remediation evidence that preserves stale/missing as blocker until proven.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
41,market_bars_5m,FRESHNESS_STATUS_BLOCKED,P1_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,Source-specific freshness remediation evidence that preserves stale/missing as blocker until proven.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
42,market_ticks_intraday,FRESHNESS_STATUS_BLOCKED,P1_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,Source-specific freshness remediation evidence that preserves stale/missing as blocker until proven.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
43,sec_events,FRESHNESS_STATUS_BLOCKED,P1_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,Source-specific freshness remediation evidence that preserves stale/missing as blocker until proven.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
44,authority_evidence_ledger,DIAGNOSTIC_LEDGER_ONLY,P1_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/authority_ledger_summary.csv,Clear distinction between diagnostic ledger evidence and authority certification.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
45,broker_truth_reconciliation,DIAGNOSTIC_LEDGER_ONLY,P1_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/authority_ledger_summary.csv,Clear distinction between diagnostic ledger evidence and authority certification.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
46,catalog_report_artifacts,DIAGNOSTIC_LEDGER_ONLY,P1_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/authority_ledger_summary.csv,Clear distinction between diagnostic ledger evidence and authority certification.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
47,daily_ohlcv,DIAGNOSTIC_LEDGER_ONLY,P1_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/authority_ledger_summary.csv,Clear distinction between diagnostic ledger evidence and authority certification.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
48,diagnostic_runtime_heartbeats,DIAGNOSTIC_LEDGER_ONLY,P1_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/authority_ledger_summary.csv,Clear distinction between diagnostic ledger evidence and authority certification.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
49,frontend_read_models,DIAGNOSTIC_LEDGER_ONLY,P1_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/authority_ledger_summary.csv,Clear distinction between diagnostic ledger evidence and authority certification.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
50,indicator_snapshots,DIAGNOSTIC_LEDGER_ONLY,P1_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/authority_ledger_summary.csv,Clear distinction between diagnostic ledger evidence and authority certification.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
51,macro_rates,DIAGNOSTIC_LEDGER_ONLY,P1_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/authority_ledger_summary.csv,Clear distinction between diagnostic ledger evidence and authority certification.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
52,market_bars_5m,DIAGNOSTIC_LEDGER_ONLY,P1_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/authority_ledger_summary.csv,Clear distinction between diagnostic ledger evidence and authority certification.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
53,market_ticks_intraday,DIAGNOSTIC_LEDGER_ONLY,P1_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/authority_ledger_summary.csv,Clear distinction between diagnostic ledger evidence and authority certification.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
54,runtime_strategy_decisions,DIAGNOSTIC_LEDGER_ONLY,P1_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/authority_ledger_summary.csv,Clear distinction between diagnostic ledger evidence and authority certification.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
55,sec_events,DIAGNOSTIC_LEDGER_ONLY,P1_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/authority_ledger_summary.csv,Clear distinction between diagnostic ledger evidence and authority certification.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
