lifecycle_id,decision_id,order_id,symbol,source_path,source_hash,receive_ts,raw_entry_bar_available_flag,inferred_lifecycle_matching_used_flag,event_type,event_ts,event_price,receive_ts_status,recv_ts_utc,stream_archive_match_flag,live_ready_flag
TASK503|ASTS|20240731T133000Z,RD|TASK503|ASTS|20240731T133000Z,RO|TASK503|ASTS|20240731T133000Z,ASTS,data\raw\us_intraday\ASTS.csv,ab9262d8277f887cd11341cc8bec26a81a02a4d61255ab125549b06bd06c8acc,,1,0,DECISION_SNAPSHOT,2024-07-31 13:30:00+00:00,18.085,receive_ts_missing,,0,0
TASK503|GE|20240801T133000Z,RD|TASK503|GE|20240801T133000Z,RO|TASK503|GE|20240801T133000Z,GE,data\raw\us_intraday\GE.csv,c382f41814ccd640e5296a3c66a73dddfcce4ee3f3f4e49fc29c523ca0c72883,,1,0,DECISION_SNAPSHOT,2024-08-01 13:30:00+00:00,173.55,receive_ts_missing,,0,0
TASK503|PH|20240801T133000Z,RD|TASK503|PH|20240801T133000Z,RO|TASK503|PH|20240801T133000Z,PH,data\raw\us_intraday\PH.csv,4dae86b795b7c679cf6de2a83f6f9561b5989869e288483817834ee2792a526e,,1,0,DECISION_SNAPSHOT,2024-08-01 13:30:00+00:00,564.5,receive_ts_missing,,0,0
TASK503|ASTS|20240801T140000Z,RD|TASK503|ASTS|20240801T140000Z,RO|TASK503|ASTS|20240801T140000Z,ASTS,data\raw\us_intraday\ASTS.csv,0ad21108ebdc99cf1ef8d21a67ca2da7c3595f281fb750bc997a4010a217bc48,,1,0,DECISION_SNAPSHOT,2024-08-01 14:00:00+00:00,21.1876,receive_ts_missing,,0,0
TASK503|RTX|20240806T134500Z,RD|TASK503|RTX|20240806T134500Z,RO|TASK503|RTX|20240806T134500Z,RTX,data\raw\us_intraday\RTX.csv,6b4cb3c32166aa2cead2364838020f3a8751f4f2cb5dcf3b14c66a0b98980c68,,1,0,DECISION_SNAPSHOT,2024-08-06 13:45:00+00:00,116.3,receive_ts_missing,,0,0
TASK503|ASTS|20240813T141500Z,RD|TASK503|ASTS|20240813T141500Z,RO|TASK503|ASTS|20240813T141500Z,ASTS,data\raw\us_intraday\ASTS.csv,946b9583ba674634d0f6f86e5e489f1ebe06b576d48bfb57e3cc1eda3c7290c8,,1,0,DECISION_SNAPSHOT,2024-08-13 14:15:00+00:00,20.4099,receive_ts_missing,,0,0
TASK503|RTX|20240814T133000Z,RD|TASK503|RTX|20240814T133000Z,RO|TASK503|RTX|20240814T133000Z,RTX,data\raw\us_intraday\RTX.csv,5a2cb1402e499198bf66e52459b3496114e71007757cee673adb6ec0e4c8986c,,1,0,DECISION_SNAPSHOT,2024-08-14 13:30:00+00:00,117.205,receive_ts_missing,,0,0
TASK503|RKLB|20240816T133000Z,RD|TASK503|RKLB|20240816T133000Z,RO|TASK503|RKLB|20240816T133000Z,RKLB,data\raw\us_intraday\RKLB.csv,55c0df00840a3cbf473d540dfb2259bec216a1d617f5221d932f4abdd2f2f1b1,,1,0,DECISION_SNAPSHOT,2024-08-16 13:30:00+00:00,6.61,receive_ts_missing,,0,0
TASK503|ASTS|20240816T134500Z,RD|TASK503|ASTS|20240816T134500Z,RO|TASK503|ASTS|20240816T134500Z,ASTS,data\raw\us_intraday\ASTS.csv,680ddf871394be6d91cbfe3aa99444928cd8295aee3ea06e7d94c50ff642beaf,,1,0,DECISION_SNAPSHOT,2024-08-16 13:45:00+00:00,36.78,receive_ts_missing,,0,0
TASK503|RKLB|20240819T133000Z,RD|TASK503|RKLB|20240819T133000Z,RO|TASK503|RKLB|20240819T133000Z,RKLB,data\raw\us_intraday\RKLB.csv,ec3d66ce326d56f4a20126f65caa9173dcd19545e33ccb4966d04609fe4e69d9,,1,0,DECISION_SNAPSHOT,2024-08-19 13:30:00+00:00,6.94,receive_ts_missing,,0,0
TASK503|PH|20240828T134500Z,RD|TASK503|PH|20240828T134500Z,RO|TASK503|PH|20240828T134500Z,PH,data\raw\us_intraday\PH.csv,6354aee62bf81ffdddc71f82b3470f35674bee49beb35013e0094006d00bfbb2,,1,0,DECISION_SNAPSHOT,2024-08-28 13:45:00+00:00,592.4,receive_ts_missing,,0,0
TASK503|RKLB|20240828T134500Z,RD|TASK503|RKLB|20240828T134500Z,RO|TASK503|RKLB|20240828T134500Z,RKLB,data\raw\us_intraday\RKLB.csv,4d27ce6dca066036a5eec3a5f29f93cebe1eeada8cc7bd1641c37516c0a17d7f,,1,0,DECISION_SNAPSHOT,2024-08-28 13:45:00+00:00,6.2,receive_ts_missing,,0,0
TASK503|RKLB|20240829T134500Z,RD|TASK503|RKLB|20240829T134500Z,RO|TASK503|RKLB|20240829T134500Z,RKLB,data\raw\us_intraday\RKLB.csv,8419eed62d9817864a24ebe087f36dbbec367436aba403405abdfc842e4dc09a,,1,0,DECISION_SNAPSHOT,2024-08-29 13:45:00+00:00,6.2599,receive_ts_missing,,0,0
TASK503|ASTS|20240829T140000Z,RD|TASK503|ASTS|20240829T140000Z,RO|TASK503|ASTS|20240829T140000Z,ASTS,data\raw\us_intraday\ASTS.csv,b51ae8f88b0e1a5a319d26d4cb2961b806b5e0f071c7f61b1c6920981e7172e5,,1,0,DECISION_SNAPSHOT,2024-08-29 14:00:00+00:00,30.1805,receive_ts_missing,,0,0
TASK503|PLTR|20240926T153000Z,RD|TASK503|PLTR|20240926T153000Z,RO|TASK503|PLTR|20240926T153000Z,PLTR,data\raw\us_intraday\PLTR.csv,638820c1a189cccd55acd03828300bdae8eb15f12cb18e81fe9b30bf1bf550c4,,1,0,DECISION_SNAPSHOT,2024-09-26 15:30:00+00:00,37.385,receive_ts_missing,,0,0
TASK503|PLTR|20241025T133000Z,RD|TASK503|PLTR|20241025T133000Z,RO|TASK503|PLTR|20241025T133000Z,PLTR,data\raw\us_intraday\PLTR.csv,e231335bf5832727fa7949caa2ca1de2e21026b2b5f98ef6a3cacca56c079403,,1,0,DECISION_SNAPSHOT,2024-10-25 13:30:00+00:00,44.47,receive_ts_missing,,0,0
TASK503|RKLB|20241025T183000Z,RD|TASK503|RKLB|20241025T183000Z,RO|TASK503|RKLB|20241025T183000Z,RKLB,data\raw\us_intraday\RKLB.csv,8c3132e4df5938e85e637ae7110bd36414625d5f0683eada04444fb530613fe9,,1,0,DECISION_SNAPSHOT,2024-10-25 18:30:00+00:00,11.275,receive_ts_missing,,0,0
TASK503|TEAM|20241030T134500Z,RD|TASK503|TEAM|20241030T134500Z,RO|TASK503|TEAM|20241030T134500Z,TEAM,data\raw\us_intraday\TEAM.csv,1d8cc5ff12b07ea6beb6ce2dc60250f4880afd2eef547df37941232019ed56dd,,1,0,DECISION_SNAPSHOT,2024-10-30 13:45:00+00:00,192.495,receive_ts_missing,,0,0
TASK503|TEAM|20241107T144500Z,RD|TASK503|TEAM|20241107T144500Z,RO|TASK503|TEAM|20241107T144500Z,TEAM,data\raw\us_intraday\TEAM.csv,feb457967ecb51c90d6659ea5f21fff6718ee7c79402d88c95418a24e317c988,,1,0,DECISION_SNAPSHOT,2024-11-07 14:45:00+00:00,229.27,receive_ts_missing,,0,0
TASK503|PLTR|20241111T150000Z,RD|TASK503|PLTR|20241111T150000Z,RO|TASK503|PLTR|20241111T150000Z,PLTR,data\raw\us_intraday\PLTR.csv,180f6be5e2eed0d9f5554571c8ba1594a411579b5e822539a867055de1521bd7,,1,0,DECISION_SNAPSHOT,2024-11-11 15:00:00+00:00,60.6495,receive_ts_missing,,0,0
TASK503|TEAM|20241113T143000Z,RD|TASK503|TEAM|20241113T143000Z,RO|TASK503|TEAM|20241113T143000Z,TEAM,data\raw\us_intraday\TEAM.csv,fa50375f5698b7a3e0698418d5f81832f86df549404574d2f6cd634d9d10d299,,1,0,DECISION_SNAPSHOT,2024-11-13 14:30:00+00:00,247.965,receive_ts_missing,,0,0
TASK503|DDOG|20241121T143000Z,RD|TASK503|DDOG|20241121T143000Z,RO|TASK503|DDOG|20241121T143000Z,DDOG,data\raw\us_intraday\DDOG.csv,2c845e24e84c129dca03701d7706d32ca40688bf578516c3ec81b57f27e06993,,1,0,DECISION_SNAPSHOT,2024-11-21 14:30:00+00:00,142.955,receive_ts_missing,,0,0
TASK503|SNOW|20241121T144500Z,RD|TASK503|SNOW|20241121T144500Z,RO|TASK503|SNOW|20241121T144500Z,SNOW,data\raw\us_intraday\SNOW.csv,7fd8bb7bb957b265eadede53c6fe8ed0986d8b7be8e6bc6c909738cdf73022ee,,1,0,DECISION_SNAPSHOT,2024-11-21 14:45:00+00:00,169.57,receive_ts_missing,,0,0
TASK503|SNOW|20241122T143000Z,RD|TASK503|SNOW|20241122T143000Z,RO|TASK503|SNOW|20241122T143000Z,SNOW,data\raw\us_intraday\SNOW.csv,75815f3bb19c4e5b77263930fc0ecddcbf4355cbe6e593815878e92cd2eca791,,1,0,DECISION_SNAPSHOT,2024-11-22 14:30:00+00:00,177.3029,receive_ts_missing,,0,0
TASK503|DDOG|20241220T143000Z,RD|TASK503|DDOG|20241220T143000Z,RO|TASK503|DDOG|20241220T143000Z,DDOG,data\raw\us_intraday\DDOG.csv,aa76e27c300d745ca68291fb469161e147f87b4660333c2c17f98d6a4399583c,,1,0,DECISION_SNAPSHOT,2024-12-20 14:30:00+00:00,146.88,receive_ts_missing,,0,0
TASK503|MDB|20250128T144500Z,RD|TASK503|MDB|20250128T144500Z,RO|TASK503|MDB|20250128T144500Z,MDB,data\raw\us_intraday\MDB.csv,31b5b065fe591c92b58fb864b1647d422e1f5d061cad7ccafa183cfc71947e2b,,1,0,DECISION_SNAPSHOT,2025-01-28 14:45:00+00:00,273.8,receive_ts_missing,,0,0
TASK503|TEAM|20250128T144500Z,RD|TASK503|TEAM|20250128T144500Z,RO|TASK503|TEAM|20250128T144500Z,TEAM,data\raw\us_intraday\TEAM.csv,a3847fd753f1699dc199899e187eb6a87b836939a7d26e01c1cf2091bb68f644,,1,0,DECISION_SNAPSHOT,2025-01-28 14:45:00+00:00,273.17,receive_ts_missing,,0,0
TASK503|TEAM|20250130T144500Z,RD|TASK503|TEAM|20250130T144500Z,RO|TASK503|TEAM|20250130T144500Z,TEAM,data\raw\us_intraday\TEAM.csv,dca43bf8d93b079eccaf7bcca9a62314356436386422c9e6cfddf139c9cfaa83,,1,0,DECISION_SNAPSHOT,2025-01-30 14:45:00+00:00,269.36,receive_ts_missing,,0,0
TASK503|PLTR|20250206T143000Z,RD|TASK503|PLTR|20250206T143000Z,RO|TASK503|PLTR|20250206T143000Z,PLTR,data\raw\us_intraday\PLTR.csv,4a151b96c8412e892053c63bdc3c50e7a4bec5a6663735fb821b44343b6f73cd,,1,0,DECISION_SNAPSHOT,2025-02-06 14:30:00+00:00,104.0161,receive_ts_missing,,0,0
TASK503|ASTS|20250210T143000Z,RD|TASK503|ASTS|20250210T143000Z,RO|TASK503|ASTS|20250210T143000Z,ASTS,data\raw\us_intraday\ASTS.csv,0df1792b8533b829d81009a274a636ba72e85f0f15f81ee2b7a8b71bb9cbaac6,,1,0,DECISION_SNAPSHOT,2025-02-10 14:30:00+00:00,29.3,receive_ts_missing,,0,0
TASK503|SNOW|20250212T143000Z,RD|TASK503|SNOW|20250212T143000Z,RO|TASK503|SNOW|20250212T143000Z,SNOW,data\raw\us_intraday\SNOW.csv,8693f8f19611005d4dc8dc7184b04b987c7189970ca7d02afdd7f4164a5a275e,,1,0,DECISION_SNAPSHOT,2025-02-12 14:30:00+00:00,182.45,receive_ts_missing,,0,0
TASK503|RTX|20250228T203000Z,RD|TASK503|RTX|20250228T203000Z,RO|TASK503|RTX|20250228T203000Z,RTX,data\raw\us_intraday\RTX.csv,499e7853f6451096564b54bb365a721e7c0d3609e2529f1439becb750b778767,,1,0,DECISION_SNAPSHOT,2025-02-28 20:30:00+00:00,132.16,receive_ts_missing,,0,0
TASK503|ASTS|20250305T143000Z,RD|TASK503|ASTS|20250305T143000Z,RO|TASK503|ASTS|20250305T143000Z,ASTS,data\raw\us_intraday\ASTS.csv,e41a6f5cbc95d699cfa4a54ca19b8fb5cee29c01c7560b362b680e7e8a2c63c4,,1,0,DECISION_SNAPSHOT,2025-03-05 14:30:00+00:00,31.5,receive_ts_missing,,0,0
TASK503|ASTS|20250307T143000Z,RD|TASK503|ASTS|20250307T143000Z,RO|TASK503|ASTS|20250307T143000Z,ASTS,data\raw\us_intraday\ASTS.csv,bbc8dbca9c39076b49980100d3d0780f56ea2338b0e614ea60f5af0b162c3a0e,,1,0,DECISION_SNAPSHOT,2025-03-07 14:30:00+00:00,31.69,receive_ts_missing,,0,0
TASK503|BA|20250320T133000Z,RD|TASK503|BA|20250320T133000Z,RO|TASK503|BA|20250320T133000Z,BA,data\raw\us_intraday\BA.csv,a9699af2694b4f0b07927da22489952120a488397798cad77e3cd297b2ca5f1f,,1,0,DECISION_SNAPSHOT,2025-03-20 13:30:00+00:00,172.358,receive_ts_missing,,0,0
TASK503|RTX|20250320T141500Z,RD|TASK503|RTX|20250320T141500Z,RO|TASK503|RTX|20250320T141500Z,RTX,data\raw\us_intraday\RTX.csv,512bc0a835fb9dfdb4c560eb29971affb200510fcf8e0c4de20cb21fcaee4fc9,,1,0,DECISION_SNAPSHOT,2025-03-20 14:15:00+00:00,134.89,receive_ts_missing,,0,0
TASK503|RTX|20250324T134500Z,RD|TASK503|RTX|20250324T134500Z,RO|TASK503|RTX|20250324T134500Z,RTX,data\raw\us_intraday\RTX.csv,64f1943457b72d82b4136b52f80e211a56719797db01561f95e17b96e6a463a7,,1,0,DECISION_SNAPSHOT,2025-03-24 13:45:00+00:00,133.395,receive_ts_missing,,0,0
TASK503|RTX|20250325T133000Z,RD|TASK503|RTX|20250325T133000Z,RO|TASK503|RTX|20250325T133000Z,RTX,data\raw\us_intraday\RTX.csv,e156c5ee59a966aff04d56a3523c0f447c78798037e9152591e414ce49642941,,1,0,DECISION_SNAPSHOT,2025-03-25 13:30:00+00:00,135.11,receive_ts_missing,,0,0
TASK503|RKLB|20250411T190000Z,RD|TASK503|RKLB|20250411T190000Z,RO|TASK503|RKLB|20250411T190000Z,RKLB,data\raw\us_intraday\RKLB.csv,bfce06361ee273f71c435702770db1f9c6c2f930fd36e369533cbcc7829d2e9f,,1,0,DECISION_SNAPSHOT,2025-04-11 19:00:00+00:00,19.885,receive_ts_missing,,0,0
TASK503|ASTS|20250411T194500Z,RD|TASK503|ASTS|20250411T194500Z,RO|TASK503|ASTS|20250411T194500Z,ASTS,data\raw\us_intraday\ASTS.csv,2b99c151a1a9286e21be6258543be32a8bdf0db9fd6548af2752daeb1003487e,,1,0,DECISION_SNAPSHOT,2025-04-11 19:45:00+00:00,23.3,receive_ts_missing,,0,0
TASK503|PLTR|20250430T140000Z,RD|TASK503|PLTR|20250430T140000Z,RO|TASK503|PLTR|20250430T140000Z,PLTR,data\raw\us_intraday\PLTR.csv,13043efdf8b2501391aa071bc929247c8d318a956ebbc4595178b97616766517,,1,0,DECISION_SNAPSHOT,2025-04-30 14:00:00+00:00,113.68,receive_ts_missing,,0,0
TASK503|DDOG|20250502T140000Z,RD|TASK503|DDOG|20250502T140000Z,RO|TASK503|DDOG|20250502T140000Z,DDOG,data\raw\us_intraday\DDOG.csv,96492bc5dd6da2abc229c681238437188509bbc131831ef9ed51775cb29867f9,,1,0,DECISION_SNAPSHOT,2025-05-02 14:00:00+00:00,107.96,receive_ts_missing,,0,0
TASK503|PLTR|20250505T160000Z,RD|TASK503|PLTR|20250505T160000Z,RO|TASK503|PLTR|20250505T160000Z,PLTR,data\raw\us_intraday\PLTR.csv,076e3b07d269d91153c5ebcc26c86ef804e0cc0ad47d1c6f600c1f797518ab7a,,1,0,DECISION_SNAPSHOT,2025-05-05 16:00:00+00:00,124.4501,receive_ts_missing,,0,0
TASK503|DDOG|20250506T143000Z,RD|TASK503|DDOG|20250506T143000Z,RO|TASK503|DDOG|20250506T143000Z,DDOG,data\raw\us_intraday\DDOG.csv,29eb92ab54fab576d2f5eb6b8a42605a70e5613195b74168eca8a65551be2654,,1,0,DECISION_SNAPSHOT,2025-05-06 14:30:00+00:00,106.2468,receive_ts_missing,,0,0
TASK503|SNOW|20250527T133000Z,RD|TASK503|SNOW|20250527T133000Z,RO|TASK503|SNOW|20250527T133000Z,SNOW,data\raw\us_intraday\SNOW.csv,8dea3ad6b6c1cc8b34964e2ddf1f003d514cfb31611750c98b081e41238e3b09,,1,0,DECISION_SNAPSHOT,2025-05-27 13:30:00+00:00,204.7266,receive_ts_missing,,0,0
TASK503|ASTS|20250616T133000Z,RD|TASK503|ASTS|20250616T133000Z,RO|TASK503|ASTS|20250616T133000Z,ASTS,data\raw\us_intraday\ASTS.csv,e8a4dd81a35e42763cfdef120465301b4fd060d7012734d6a0a381be40fbc633,,1,0,DECISION_SNAPSHOT,2025-06-16 13:30:00+00:00,41.68,receive_ts_missing,,0,0
TASK503|DDOG|20250618T133000Z,RD|TASK503|DDOG|20250618T133000Z,RO|TASK503|DDOG|20250618T133000Z,DDOG,data\raw\us_intraday\DDOG.csv,86171cfc3b544de705b7acb4800c56bc4d4bace549352a875764b910bc34f95a,,1,0,DECISION_SNAPSHOT,2025-06-18 13:30:00+00:00,127.35,receive_ts_missing,,0,0
TASK503|ASTS|20250620T133000Z,RD|TASK503|ASTS|20250620T133000Z,RO|TASK503|ASTS|20250620T133000Z,ASTS,data\raw\us_intraday\ASTS.csv,f6c83dc1832468748580edc303ded23044447a6073fda2e66fba314df754dda8,,1,0,DECISION_SNAPSHOT,2025-06-20 13:30:00+00:00,46.485,receive_ts_missing,,0,0
TASK503|BA|20250710T134500Z,RD|TASK503|BA|20250710T134500Z,RO|TASK503|BA|20250710T134500Z,BA,data\raw\us_intraday\BA.csv,e3cad47e3aa45585e41943cd6e4bbd74c1074949b6013fdb4d591bee3123c80c,,1,0,DECISION_SNAPSHOT,2025-07-10 13:45:00+00:00,228.2,receive_ts_missing,,0,0
TASK503|VST|20250710T183000Z,RD|TASK503|VST|20250710T183000Z,RO|TASK503|VST|20250710T183000Z,VST,data\raw\us_intraday\VST.csv,e014b18ddff92a9a3a07520ef16a881f2b093177ab1bbe0dd0bad1fadcf80d5e,,1,0,DECISION_SNAPSHOT,2025-07-10 18:30:00+00:00,197.26,receive_ts_missing,,0,0
TASK503|BA|20250728T133000Z,RD|TASK503|BA|20250728T133000Z,RO|TASK503|BA|20250728T133000Z,BA,data\raw\us_intraday\BA.csv,126336792b6ee828e66764fe050d790e2b4534d129d25de00dfef34247ca089c,,1,0,DECISION_SNAPSHOT,2025-07-28 13:30:00+00:00,234.6898,receive_ts_missing,,0,0
TASK503|RKLB|20250730T133000Z,RD|TASK503|RKLB|20250730T133000Z,RO|TASK503|RKLB|20250730T133000Z,RKLB,data\raw\us_intraday\RKLB.csv,cda71baa15a4fb2ebd27f2d27f237ea8f1552d2e389b1690f0ff5dfb154b5fde,,1,0,DECISION_SNAPSHOT,2025-07-30 13:30:00+00:00,44.155,receive_ts_missing,,0,0
TASK503|ASTS|20250731T134500Z,RD|TASK503|ASTS|20250731T134500Z,RO|TASK503|ASTS|20250731T134500Z,ASTS,data\raw\us_intraday\ASTS.csv,0bf08c32b3224bc144ed09661d942375157a3ac979101393be70c3b35a6f5a0f,,1,0,DECISION_SNAPSHOT,2025-07-31 13:45:00+00:00,55.0,receive_ts_missing,,0,0
TASK503|ASTS|20250801T140000Z,RD|TASK503|ASTS|20250801T140000Z,RO|TASK503|ASTS|20250801T140000Z,ASTS,data\raw\us_intraday\ASTS.csv,ea5901f66bbfe806945dd473a09ea46cc10416da2744d105a973b9739daeccde,,1,0,DECISION_SNAPSHOT,2025-08-01 14:00:00+00:00,51.485,receive_ts_missing,,0,0
TASK503|TER|20250819T133000Z,RD|TASK503|TER|20250819T133000Z,RO|TASK503|TER|20250819T133000Z,TER,data\raw\us_intraday\TER.csv,8c8c999f42907fe704ba4929a72333a4218ad0da6e6cd0040043b6c855e08195,,1,0,DECISION_SNAPSHOT,2025-08-19 13:30:00+00:00,111.18,receive_ts_missing,,0,0
TASK503|TER|20250821T141500Z,RD|TASK503|TER|20250821T141500Z,RO|TASK503|TER|20250821T141500Z,TER,data\raw\us_intraday\TER.csv,d78be7fcf029e7f66abd39a4757f69eddbcf8655361e8ac69cb88e9ce2b2d2f8,,1,0,DECISION_SNAPSHOT,2025-08-21 14:15:00+00:00,109.115,receive_ts_missing,,0,0
TASK503|TER|20250822T133000Z,RD|TASK503|TER|20250822T133000Z,RO|TASK503|TER|20250822T133000Z,TER,data\raw\us_intraday\TER.csv,ff8806c6c3b75d9749f49bc1ca791f952cac81f18299fae52a86767deab125ac,,1,0,DECISION_SNAPSHOT,2025-08-22 13:30:00+00:00,110.7699,receive_ts_missing,,0,0
TASK503|TER|20250908T141500Z,RD|TASK503|TER|20250908T141500Z,RO|TASK503|TER|20250908T141500Z,TER,data\raw\us_intraday\TER.csv,d6302488f6d0b6748a1705e1b57e0a9a3182c47df9b52eb05b2e010080c2413f,,1,0,DECISION_SNAPSHOT,2025-09-08 14:15:00+00:00,120.86,receive_ts_missing,,0,0
TASK503|MDB|20250909T133000Z,RD|TASK503|MDB|20250909T133000Z,RO|TASK503|MDB|20250909T133000Z,MDB,data\raw\us_intraday\MDB.csv,8cbfe755095ca84f082d9382fa23409062f9c51abd62b7bae8de233fb69d08d1,,1,0,DECISION_SNAPSHOT,2025-09-09 13:30:00+00:00,326.46,receive_ts_missing,,0,0
TASK503|MDB|20250915T134500Z,RD|TASK503|MDB|20250915T134500Z,RO|TASK503|MDB|20250915T134500Z,MDB,data\raw\us_intraday\MDB.csv,4ccda629db10b956f14d6502119d911e1d28cd380ec880b8dcaf9aea80c589f4,,1,0,DECISION_SNAPSHOT,2025-09-15 13:45:00+00:00,341.5,receive_ts_missing,,0,0
TASK503|DDOG|20251003T133000Z,RD|TASK503|DDOG|20251003T133000Z,RO|TASK503|DDOG|20251003T133000Z,DDOG,data\raw\us_intraday\DDOG.csv,581d80df6205fe30533a0e51e25d11749b1320eaca80409bc674362f8ce1fddf,,1,0,DECISION_SNAPSHOT,2025-10-03 13:30:00+00:00,155.0299,receive_ts_missing,,0,0
TASK503|TER|20251003T133000Z,RD|TASK503|TER|20251003T133000Z,RO|TASK503|TER|20251003T133000Z,TER,data\raw\us_intraday\TER.csv,e48eb0ea88d8e1c98b3a7b9b291bd8893b9da1f3a58f080ea775d2d8308776f9,,1,0,DECISION_SNAPSHOT,2025-10-03 13:30:00+00:00,148.7,receive_ts_missing,,0,0
TASK503|SNOW|20251021T144500Z,RD|TASK503|SNOW|20251021T144500Z,RO|TASK503|SNOW|20251021T144500Z,SNOW,data\raw\us_intraday\SNOW.csv,041177ac14e4c1fc88a8cb90a25b78acac84d721b395d870607960df632f14cb,,1,0,DECISION_SNAPSHOT,2025-10-21 14:45:00+00:00,247.34,receive_ts_missing,,0,0
TASK503|RTX|20251023T133000Z,RD|TASK503|RTX|20251023T133000Z,RO|TASK503|RTX|20251023T133000Z,RTX,data\raw\us_intraday\RTX.csv,12e5713626cd99116f6b7ea15fdf7bc1d7fb8def3404648af2bba008501c21f8,,1,0,DECISION_SNAPSHOT,2025-10-23 13:30:00+00:00,179.14,receive_ts_missing,,0,0
TASK503|PH|20251112T143000Z,RD|TASK503|PH|20251112T143000Z,RO|TASK503|PH|20251112T143000Z,PH,data\raw\us_intraday\PH.csv,a7e08824f3718ce43f0b469f87160108d62e93dbcbd392f5053f39a937f29b62,,1,0,DECISION_SNAPSHOT,2025-11-12 14:30:00+00:00,869.15,receive_ts_missing,,0,0
TASK503|TER|20251114T143000Z,RD|TASK503|TER|20251114T143000Z,RO|TASK503|TER|20251114T143000Z,TER,data\raw\us_intraday\TER.csv,3a0d0a7e0d35759d1fb207774c8144dd0384157158df6024f1cee6a42a147064,,1,0,DECISION_SNAPSHOT,2025-11-14 14:30:00+00:00,168.67,receive_ts_missing,,0,0
