metric,value,status,notes
backfill_archives_snapshot,1755/4099,PRIMARY_PASS,Status report shows historical backfill progress including unavailable archives at 2026-06-28T18:34:47Z.
backfill_rows_snapshot,7570,PRIMARY_PASS,Historical backfill status reports 7570 rows captured across public newswire sources.
backfill_l1_ready_discovery_snapshot,1411,PRIMARY_PASS,Historical backfill mapped rows are discovery-only and preserved for L1/L2.
backfill_l1_context_ready_snapshot,229,PRIMARY_PASS,Historical backfill context-ready rows are preserved for L1/L2 without ticker inference.
businesswire_unavailable_archives_snapshot,1740,PRIMARY_PASS,BusinessWire S3 daily 403 unavailable archives are recorded and skipped rather than retried.
trade_score_flags,0,PRIMARY_PASS,L2 smoke had sum trade_output_flag=0 and score_output_flag=0.
entity_mapping_gate,IMPLEMENTED_DISCOVERY_AND_CONTEXT_ONLY,PRIMARY_PASS,Deterministic exchange-tag and exact-alias mapper implemented; thematic unmapped rows can become context-only; other unmapped or ambiguous rows remain blocked.
mapper_version_v014,public_newswire_entity_mapper.v0.1.4,PRIMARY_PASS,Unescapes HTML entities before alias matching and strips Common Shares descriptor without symbol-token fallback.
mapping_v014_smoke_rows,100,PRIMARY_PASS,Real-network v0.1.4 smoke exported 100 rows from currently responding GlobeNewswire and BusinessWire; PRNewswire was empty in the smoke window.
mapping_v014_globenewswire_ready_blocked,34/16,PRIMARY_PASS,GlobeNewswire v0.1.4 smoke had 34 L1-ready rows and 16 blocked rows.
mapping_v014_businesswire_ready_blocked,40/10,PRIMARY_PASS,BusinessWire v0.1.4 smoke had 40 L1-ready rows and 10 blocked rows.
mapping_v014_l2_smoke_facts,101,PRIMARY_PASS,L2 v0.1.4 smoke DB materialized 101 facts and passed canonical no-trade and L3 input validators.
regular_background_pid_v014,11152,PRIMARY_PASS,public_newswire_feeds live watcher restarted with v0.1.4 mapper loaded.
backfill_background_pid_v014,22532,PRIMARY_PASS,public_newswire_feeds historical backfill worker restarted with v0.1.4 mapper loaded.
mapper_version_v016,public_newswire_entity_mapper.v0.1.6,PRIMARY_PASS,Includes article HTML metadata description evidence and preserves explicit source-declared exchange tags for symbols outside the current active universe.
backfill_prn_v016_smoke_rows,80,PRIMARY_PASS,Real-network PRNewswire January 2016 smoke exported 80 rows.
backfill_prn_v016_mapped_rows,16,PRIMARY_PASS,PRNewswire v0.1.6 smoke produced 16 mapped rows including source-declared exchange tag evidence.
backfill_prn_v016_context_rows,4,PRIMARY_PASS,PRNewswire v0.1.6 smoke produced 4 context-ready unmapped rows without ticker inference.
backfill_prn_v016_source_declared_exchange_rows,1,PRIMARY_PASS,PRNewswire v0.1.6 smoke captured at least one mapped source-declared exchange tag outside active-universe entity records.
aksteel_raw_replay_v016,AKS,PRIMARY_PASS,Existing AK Steel 2016 PRNewswire raw article metadata replays to MAPPED_EXCHANGE_TAG from explicit text AK Steel (NYSE: AKS) with active_universe_match_flag=0.
backfill_prn_v016_l2_smoke_facts,80,PRIMARY_PASS,L2 v0.1.6 PRNewswire backfill smoke DB materialized 80 facts and passed canonical no-trade and L3 input validators.
regular_background_pid_v016,9916,PRIMARY_PASS,public_newswire_feeds live watcher restarted with v0.1.6 mapper loaded.
backfill_background_pid_v016,24392,PRIMARY_PASS,public_newswire_feeds historical backfill worker restarted with v0.1.6 mapper loaded.
mapper_version_v017,public_newswire_entity_mapper.v0.1.7,PRIMARY_PASS,Adds RSS description evidence and controlled PRNewswire/GlobeNewswire article metadata enrichment for sitemap rows.
backfill_gnw_v017_smoke_rows,80,PRIMARY_PASS,Real-network GlobeNewswire January 2016 smoke exported 80 rows.
backfill_gnw_v017_mapped_rows,11,PRIMARY_PASS,GlobeNewswire v0.1.7 smoke produced 11 mapped rows after metadata enrichment.
backfill_gnw_v017_context_rows,11,PRIMARY_PASS,GlobeNewswire v0.1.7 smoke produced 11 context-ready unmapped rows without ticker inference.
backfill_gnw_v017_source_declared_exchange_rows,4,PRIMARY_PASS,GlobeNewswire v0.1.7 smoke captured 4 source-declared exchange tag rows from metadata descriptions.
backfill_gnw_v017_metadata_enrichment_fetches,79,PRIMARY_PASS,GlobeNewswire v0.1.7 smoke recorded 79 metadata enrichment fetches for 80 rows within bounded smoke.
backfill_gnw_v017_l2_smoke_facts,80,PRIMARY_PASS,L2 v0.1.7 GlobeNewswire backfill smoke DB materialized 80 facts and passed canonical no-trade and L3 input validators.
regular_background_pid_v017,9456,PRIMARY_PASS,public_newswire_feeds live watcher restarted with v0.1.7 mapper loaded.
backfill_background_pid_v017,16756,PRIMARY_PASS,public_newswire_feeds historical backfill worker restarted with v0.1.7 mapper loaded.
