report_dir,archive_state,recommended_action,file_count,size_bytes,manifest_path
task_202,historical_keep,keep_until_full_registry_backfill,2,114324,docs/reports/task_202/artifact_manifest.csv
task_489_broad_market_daily_collection,historical_keep,keep_until_full_registry_backfill,3,103901,docs/reports/task_489_broad_market_daily_collection/artifact_manifest.csv
task_363_add_relay_lifecycle,historical_keep,keep_until_full_registry_backfill,7,102328,docs/reports/task_363_add_relay_lifecycle/artifact_manifest.csv
task_087,historical_keep,keep_until_full_registry_backfill,68,98768,docs/reports/task_087/artifact_manifest.csv
task_360_shadow_integration,historical_keep,keep_until_full_registry_backfill,5,94513,docs/reports/task_360_shadow_integration/artifact_manifest.csv
task_388_intraday_canonical_continuation_engine,historical_keep,keep_until_full_registry_backfill,6,85583,docs/reports/task_388_intraday_canonical_continuation_engine/artifact_manifest.csv
task_099,historical_keep,keep_until_full_registry_backfill,6,80640,docs/reports/task_099/artifact_manifest.csv
task_320_baseline_check,historical_keep,keep_until_full_registry_backfill,4,74110,docs/reports/task_320_baseline_check/artifact_manifest.csv
task_402_multifactor_continuation_state_discovery,historical_keep,keep_until_full_registry_backfill,10,72969,docs/reports/task_402_multifactor_continuation_state_discovery/artifact_manifest.csv
task_319_allsymbols_check,historical_keep,keep_until_full_registry_backfill,4,66029,docs/reports/task_319_allsymbols_check/artifact_manifest.csv
task_319_single,historical_keep,keep_until_full_registry_backfill,4,61641,docs/reports/task_319_single/artifact_manifest.csv
task_314,historical_keep,keep_until_full_registry_backfill,4,61610,docs/reports/task_314/artifact_manifest.csv
task_403_multi_archetype_continuation_portfolio_discovery,historical_keep,keep_until_full_registry_backfill,10,61207,docs/reports/task_403_multi_archetype_continuation_portfolio_discovery/artifact_manifest.csv
task_076,historical_keep,keep_until_full_registry_backfill,4,59917,docs/reports/task_076/artifact_manifest.csv
task_373_definition_audit,historical_keep,keep_until_full_registry_backfill,6,58948,docs/reports/task_373_definition_audit/artifact_manifest.csv
task_486_regime_v1_v2_v3_firm_grade_comparison,historical_keep,keep_until_full_registry_backfill,6,49377,docs/reports/task_486_regime_v1_v2_v3_firm_grade_comparison/artifact_manifest.csv
task_394_regime_aware_canonical_continuation_policy,historical_keep,keep_until_full_registry_backfill,10,48753,docs/reports/task_394_regime_aware_canonical_continuation_policy/artifact_manifest.csv
task_405_refined_archetype_portfolio_rebuild,historical_keep,keep_until_full_registry_backfill,11,47204,docs/reports/task_405_refined_archetype_portfolio_rebuild/artifact_manifest.csv
task_329_state_model_redesign,historical_keep,keep_until_full_registry_backfill,8,39315,docs/reports/task_329_state_model_redesign/artifact_manifest.csv
task_364_lifecycle_replay,historical_keep,keep_until_full_registry_backfill,7,38179,docs/reports/task_364_lifecycle_replay/artifact_manifest.csv
task_352_continuation_regime_reframing,historical_keep,keep_until_full_registry_backfill,7,34835,docs/reports/task_352_continuation_regime_reframing/artifact_manifest.csv
task_384_offline_canonical_smoke,historical_keep,keep_until_full_registry_backfill,22,33924,docs/reports/task_384_offline_canonical_smoke/artifact_manifest.csv
task_350_alpha_family_viability,historical_keep,keep_until_full_registry_backfill,12,30068,docs/reports/task_350_alpha_family_viability/artifact_manifest.csv
task_342_conditional_edge_integration,historical_keep,keep_until_full_registry_backfill,8,27824,docs/reports/task_342_conditional_edge_integration/artifact_manifest.csv
task_098_5,historical_keep,keep_until_full_registry_backfill,2,27780,docs/reports/task_098_5/artifact_manifest.csv
task_328_regime_failure_diagnosis,historical_keep,keep_until_full_registry_backfill,9,26210,docs/reports/task_328_regime_failure_diagnosis/artifact_manifest.csv
task_357_endogenous_state_gated_allocator,historical_keep,keep_until_full_registry_backfill,7,24512,docs/reports/task_357_endogenous_state_gated_allocator/artifact_manifest.csv
task_092,historical_keep,keep_until_full_registry_backfill,2,24189,docs/reports/task_092/artifact_manifest.csv
task_358_state_gated_execution_refinement,historical_keep,keep_until_full_registry_backfill,7,22484,docs/reports/task_358_state_gated_execution_refinement/artifact_manifest.csv
task_083,historical_keep,keep_until_full_registry_backfill,2,21725,docs/reports/task_083/artifact_manifest.csv
task_331_local_state_stabilization,historical_keep,keep_until_full_registry_backfill,7,21366,docs/reports/task_331_local_state_stabilization/artifact_manifest.csv
task_066b,historical_keep,keep_until_full_registry_backfill,3,18724,docs/reports/task_066b/artifact_manifest.csv
task_330_state_model_stabilization,historical_keep,keep_until_full_registry_backfill,9,18441,docs/reports/task_330_state_model_stabilization/artifact_manifest.csv
task_356_event_shock_regime_audit,historical_keep,keep_until_full_registry_backfill,7,18057,docs/reports/task_356_event_shock_regime_audit/artifact_manifest.csv
task_390_theme_canonical_continuation_quality,historical_keep,keep_until_full_registry_backfill,7,17876,docs/reports/task_390_theme_canonical_continuation_quality/artifact_manifest.csv
task_355_anchored_oos_failure_uplift,historical_keep,keep_until_full_registry_backfill,6,16760,docs/reports/task_355_anchored_oos_failure_uplift/artifact_manifest.csv
task_096_review,historical_keep,keep_until_full_registry_backfill,2,15204,docs/reports/task_096_review/artifact_manifest.csv
task_343_pro_quant_development_roadmap,historical_keep,keep_until_full_registry_backfill,8,13750,docs/reports/task_343_pro_quant_development_roadmap/artifact_manifest.csv
task_389_theme_10x7_intraday_export_long_history,historical_keep,keep_until_full_registry_backfill,3,13685,docs/reports/task_389_theme_10x7_intraday_export_long_history/artifact_manifest.csv
task_389_theme_10x7_intraday_export,historical_keep,keep_until_full_registry_backfill,3,13543,docs/reports/task_389_theme_10x7_intraday_export/artifact_manifest.csv
task_093_review,historical_keep,keep_until_full_registry_backfill,2,13504,docs/reports/task_093_review/artifact_manifest.csv
task_340_subset_validation,historical_keep,keep_until_full_registry_backfill,8,12748,docs/reports/task_340_subset_validation/artifact_manifest.csv
ops,historical_keep,keep_until_full_registry_backfill,2,12020,docs/reports/ops/artifact_manifest.csv
task_082R,historical_keep,keep_until_full_registry_backfill,2,11911,docs/reports/task_082R/artifact_manifest.csv
task_067,historical_keep,keep_until_full_registry_backfill,2,11126,docs/reports/task_067/artifact_manifest.csv
task_341_subset_refinement,historical_keep,keep_until_full_registry_backfill,9,10614,docs/reports/task_341_subset_refinement/artifact_manifest.csv
task_096,historical_keep,keep_until_full_registry_backfill,2,10305,docs/reports/task_096/artifact_manifest.csv
task_320,historical_keep,keep_until_full_registry_backfill,3,9487,docs/reports/task_320/artifact_manifest.csv
task_321,historical_keep,keep_until_full_registry_backfill,3,9487,docs/reports/task_321/artifact_manifest.csv
task_321_stock_only,historical_keep,keep_until_full_registry_backfill,3,9463,docs/reports/task_321_stock_only/artifact_manifest.csv
task_089,historical_keep,keep_until_full_registry_backfill,2,9217,docs/reports/task_089/artifact_manifest.csv
task_097,historical_keep,keep_until_full_registry_backfill,2,9006,docs/reports/task_097/artifact_manifest.csv
task_406_raw_factor_source_audit,historical_keep,keep_until_full_registry_backfill,7,8759,docs/reports/task_406_raw_factor_source_audit/artifact_manifest.csv
task_389_theme_10x7_intraday_export_long_history_remaining,historical_keep,keep_until_full_registry_backfill,3,8521,docs/reports/task_389_theme_10x7_intraday_export_long_history_remaining/artifact_manifest.csv
task_349_cross_regime_persistence,historical_keep,keep_until_full_registry_backfill,14,8068,docs/reports/task_349_cross_regime_persistence/artifact_manifest.csv
task_318,historical_keep,keep_until_full_registry_backfill,2,8048,docs/reports/task_318/artifact_manifest.csv
task_068,historical_keep,keep_until_full_registry_backfill,2,7932,docs/reports/task_068/artifact_manifest.csv
task_315,historical_keep,keep_until_full_registry_backfill,2,7666,docs/reports/task_315/artifact_manifest.csv
task_319,historical_keep,keep_until_full_registry_backfill,3,7639,docs/reports/task_319/artifact_manifest.csv
task_084,historical_keep,keep_until_full_registry_backfill,2,7394,docs/reports/task_084/artifact_manifest.csv
task_351_continuation_regime_persistence,historical_keep,keep_until_full_registry_backfill,11,7210,docs/reports/task_351_continuation_regime_persistence/artifact_manifest.csv
task_346_coverage_corrected_revalidation,historical_keep,keep_until_full_registry_backfill,6,7030,docs/reports/task_346_coverage_corrected_revalidation/artifact_manifest.csv
task_095,historical_keep,keep_until_full_registry_backfill,2,6627,docs/reports/task_095/artifact_manifest.csv
task_080,historical_keep,keep_until_full_registry_backfill,2,6602,docs/reports/task_080/artifact_manifest.csv
task_101_rev,historical_keep,keep_until_full_registry_backfill,2,5829,docs/reports/task_101_rev/artifact_manifest.csv
task_085,historical_keep,keep_until_full_registry_backfill,2,5782,docs/reports/task_085/artifact_manifest.csv
task_094_review,historical_keep,keep_until_full_registry_backfill,2,5782,docs/reports/task_094_review/artifact_manifest.csv
task_077,historical_keep,keep_until_full_registry_backfill,2,5687,docs/reports/task_077/artifact_manifest.csv
task_088,historical_keep,keep_until_full_registry_backfill,2,5316,docs/reports/task_088/artifact_manifest.csv
task_097_5,historical_keep,keep_until_full_registry_backfill,2,5028,docs/reports/task_097_5/artifact_manifest.csv
task_384_canonical_lifecycle_stream_accumulation,historical_keep,keep_until_full_registry_backfill,8,5005,docs/reports/task_384_canonical_lifecycle_stream_accumulation/artifact_manifest.csv
task_389_alpaca_intraday_ohlcv_export,historical_keep,keep_until_full_registry_backfill,3,4954,docs/reports/task_389_alpaca_intraday_ohlcv_export/artifact_manifest.csv
task_300,historical_keep,keep_until_full_registry_backfill,4,4899,docs/reports/task_300/artifact_manifest.csv
task_495_microstructure_live_source_readiness,canonical_or_active,keep_in_place,5,4672,docs/reports/task_495_microstructure_live_source_readiness/artifact_manifest.csv
task_099_review,historical_keep,keep_until_full_registry_backfill,2,4579,docs/reports/task_099_review/artifact_manifest.csv
task_086,historical_keep,keep_until_full_registry_backfill,2,4484,docs/reports/task_086/artifact_manifest.csv
task_485_benchmark_etf_intraday_collection,historical_keep,keep_until_full_registry_backfill,4,4436,docs/reports/task_485_benchmark_etf_intraday_collection/artifact_manifest.csv
task_098,historical_keep,keep_until_full_registry_backfill,2,4079,docs/reports/task_098/artifact_manifest.csv
task_078,historical_keep,keep_until_full_registry_backfill,2,4006,docs/reports/task_078/artifact_manifest.csv
task_383_canonical_lifecycle_capture_expansion,historical_keep,keep_until_full_registry_backfill,6,3934,docs/reports/task_383_canonical_lifecycle_capture_expansion/artifact_manifest.csv
task_091,historical_keep,keep_until_full_registry_backfill,2,3879,docs/reports/task_091/artifact_manifest.csv
task_382_canonical_lifecycle_replay_revalidation,historical_keep,keep_until_full_registry_backfill,7,3861,docs/reports/task_382_canonical_lifecycle_replay_revalidation/artifact_manifest.csv
task_402r_decision_labelability_audit,historical_keep,keep_until_full_registry_backfill,6,3662,docs/reports/task_402r_decision_labelability_audit/artifact_manifest.csv
task_400,historical_keep,keep_until_full_registry_backfill,4,3287,docs/reports/task_400/artifact_manifest.csv
task_091a,historical_keep,keep_until_full_registry_backfill,2,3153,docs/reports/task_091a/artifact_manifest.csv
task_494_microstructure_goal_synthesis,canonical_or_active,keep_in_place,2,3116,docs/reports/task_494_microstructure_goal_synthesis/artifact_manifest.csv
task_201_review,historical_keep,keep_until_full_registry_backfill,2,3108,docs/reports/task_201_review/artifact_manifest.csv
task_096_5,historical_keep,keep_until_full_registry_backfill,2,3018,docs/reports/task_096_5/artifact_manifest.csv
task_389_theme_10x7_intraday_export_long_history_final_batch,historical_keep,keep_until_full_registry_backfill,3,2796,docs/reports/task_389_theme_10x7_intraday_export_long_history_final_batch/artifact_manifest.csv
task_101,historical_keep,keep_until_full_registry_backfill,2,2621,docs/reports/task_101/artifact_manifest.csv
task_512,historical_keep,keep_until_full_registry_backfill,2,2404,docs/reports/task_512/artifact_manifest.csv
task_319_small,historical_keep,keep_until_full_registry_backfill,3,2284,docs/reports/task_319_small/artifact_manifest.csv
task_319_small_parallel,historical_keep,keep_until_full_registry_backfill,3,2284,docs/reports/task_319_small_parallel/artifact_manifest.csv
task_310,historical_keep,keep_until_full_registry_backfill,1,2226,docs/reports/task_310/artifact_manifest.csv
task_344_intraday_evidence_expansion_audit,historical_keep,keep_until_full_registry_backfill,5,2095,docs/reports/task_344_intraday_evidence_expansion_audit/artifact_manifest.csv
task_203,historical_keep,keep_until_full_registry_backfill,2,1930,docs/reports/task_203/artifact_manifest.csv
task_311,historical_keep,keep_until_full_registry_backfill,1,1896,docs/reports/task_311/artifact_manifest.csv
task_102,historical_keep,keep_until_full_registry_backfill,2,1768,docs/reports/task_102/artifact_manifest.csv
task_316,historical_keep,keep_until_full_registry_backfill,2,1747,docs/reports/task_316/artifact_manifest.csv
task_201,historical_keep,keep_until_full_registry_backfill,2,1516,docs/reports/task_201/artifact_manifest.csv
task_370_source_time_capture,historical_keep,keep_until_full_registry_backfill,7,1427,docs/reports/task_370_source_time_capture/artifact_manifest.csv
task_410,historical_keep,keep_until_full_registry_backfill,2,1282,docs/reports/task_410/artifact_manifest.csv
task_312,historical_keep,keep_until_full_registry_backfill,1,1189,docs/reports/task_312/artifact_manifest.csv
task_081,historical_keep,keep_until_full_registry_backfill,2,1180,docs/reports/task_081/artifact_manifest.csv
task_317,historical_keep,keep_until_full_registry_backfill,1,1151,docs/reports/task_317/artifact_manifest.csv
task_313,historical_keep,keep_until_full_registry_backfill,1,1043,docs/reports/task_313/artifact_manifest.csv
