"path","class","recommendation","delete_risk","result","size_bytes","note"
"src/app/__pycache__/main.cpython-313.pyc.2005240752912","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","3774","Generated cache file deleted."
"src/app/__pycache__/main.cpython-313.pyc.2257424722704","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","5073","Generated cache file deleted."
"src/app/__pycache__/main.cpython-313.pyc.2536830577424","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","5056","Generated cache file deleted."
"src/app/__pycache__/main.cpython-313.pyc.2557684757456","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","5056","Generated cache file deleted."
"src/app/__pycache__/main.cpython-313.pyc.2613076243408","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","5073","Generated cache file deleted."
"src/app/__pycache__/main.cpython-313.pyc.2641767117552","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","4600","Generated cache file deleted."
"src/app/__pycache__/nasdaq_market_calendar.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","8922","Generated cache file deleted."
"src/app/__pycache__/paper_capture_harness_371.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","4874","Generated cache file deleted."
"src/app/__pycache__/paper_eod_review_081.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","8819","Generated cache file deleted."
"src/app/__pycache__/paper_one_shot_080.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","7727","Generated cache file deleted."
"src/app/__pycache__/paper_runtime_common.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","7508","Generated cache file deleted."
"src/app/__pycache__/pipeline.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","3072","Generated cache file deleted."
"src/app/__pycache__/pipeline.cpython-313.pyc.1584633574816","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","2093","Generated cache file deleted."
"src/app/__pycache__/pipeline.cpython-313.pyc.1883010466080","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","2346","Generated cache file deleted."
"src/app/__pycache__/pipeline.cpython-313.pyc.1927870242832","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","2346","Generated cache file deleted."
"src/app/__pycache__/pipeline.cpython-313.pyc.1994033356816","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","2346","Generated cache file deleted."
"src/app/__pycache__/pipeline.cpython-313.pyc.2005240537344","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","2093","Generated cache file deleted."
"src/app/__pycache__/pipeline.cpython-313.pyc.2257424507136","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","2559","Generated cache file deleted."
"src/app/__pycache__/pipeline.cpython-313.pyc.2536830361856","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","2346","Generated cache file deleted."
"src/app/__pycache__/pipeline.cpython-313.pyc.2557684777488","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","2346","Generated cache file deleted."
"src/app/__pycache__/pipeline.cpython-313.pyc.2613076280064","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","2559","Generated cache file deleted."
"src/app/__pycache__/pipeline.cpython-313.pyc.2641767137568","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","2346","Generated cache file deleted."
"src/app/__pycache__/reconciliation.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","6886","Generated cache file deleted."
"src/app/__pycache__/report_recent_runs.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","5191","Generated cache file deleted."
"src/app/__pycache__/run_trade_loop.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","9360","Generated cache file deleted."
"src/app/__pycache__/run_trade_once.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","29822","Generated cache file deleted."
"src/app/__pycache__/supervisor_slack_alert.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","4242","Generated cache file deleted."
"src/app/__pycache__/task_085_paper_pilot.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","22693","Generated cache file deleted."
"src/app/__pycache__/task_087_pilot_evidence.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","35696","Generated cache file deleted."
"src/app/__pycache__/task_088_evidence_decision.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","21340","Generated cache file deleted."
"src/app/__pycache__/task_089_market_data_signal_refresh.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","44999","Generated cache file deleted."
"src/app/__pycache__/task_091_broker_lifecycle_gate.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","29246","Generated cache file deleted."
"src/app/__pycache__/task_091a_controlled_broker_lifecycle.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","45590","Generated cache file deleted."
"src/app/__pycache__/task_092_signal_alignment_audit.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","21301","Generated cache file deleted."
"src/app/__pycache__/task_337_historical_intraday_backfill.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","11703","Generated cache file deleted."
"src/app/__pycache__/task_389_alpaca_intraday_ohlcv_export.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","15119","Generated cache file deleted."
"src/app/__pycache__/task_582_kis_paper_trading_bridge.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","18695","Generated cache file deleted."
"src/app/__pycache__/task_583_live_signal_refresh_repair.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","30052","Generated cache file deleted."
"src/app/__pycache__/task_584_runtime_strategy_decision_gate.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","26714","Generated cache file deleted."
"src/app/__pycache__/task_585_kis_paper_order_execution.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","40586","Generated cache file deleted."
"src/app/__pycache__/task_586_frontend_paper_ops_integration.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","6227","Generated cache file deleted."
"src/app/__pycache__/task_587_slack_trading_report_integration.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","10282","Generated cache file deleted."
"src/app/__pycache__/task_588_kis_paper_market_hours_runtime_loop.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","12805","Generated cache file deleted."
"src/app/__pycache__/task_589_paper_eod_slack_report.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","65574","Generated cache file deleted."
"src/app/__pycache__/task_600_3_runtime_exit_engine.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","35698","Generated cache file deleted."
"src/app/__pycache__/task_600_602_2_acceptance_blocker_forensics.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","47468","Generated cache file deleted."
"src/app/__pycache__/task_600_603_acceptance_program_implementation.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","45561","Generated cache file deleted."
"src/app/__pycache__/task_601_3_portfolio_selection_layer.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","34696","Generated cache file deleted."
"src/backtest/__pycache__/__init__.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","435","Generated cache file deleted."
"src/backtest/__pycache__/add_scale_lineage.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","4097","Generated cache file deleted."
"src/backtest/__pycache__/analysis.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","11338","Generated cache file deleted."
"src/backtest/__pycache__/analysis_10x_framework_400.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","30580","Generated cache file deleted."
"src/backtest/__pycache__/analysis_always_in_410.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","17999","Generated cache file deleted."
"src/backtest/__pycache__/analysis_architecture_082r.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","13272","Generated cache file deleted."
"src/backtest/__pycache__/analysis_benchmark_gate_512.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","15282","Generated cache file deleted."
"src/backtest/__pycache__/analysis_breakout_sensitivity_099.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","42726","Generated cache file deleted."
"src/backtest/__pycache__/analysis_capital_backtest_093.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","31088","Generated cache file deleted."
"src/backtest/__pycache__/analysis_capital_deployment_097_5.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","19321","Generated cache file deleted."
"src/backtest/__pycache__/analysis_capital_failure_review_093.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","29011","Generated cache file deleted."
"src/backtest/__pycache__/analysis_cost_realistic.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","11902","Generated cache file deleted."
"src/backtest/__pycache__/analysis_cost_sensitivity.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","9880","Generated cache file deleted."
"src/backtest/__pycache__/analysis_crb_range_pct_102.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","10151","Generated cache file deleted."
"src/backtest/__pycache__/analysis_crb_review_101_rev.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","16045","Generated cache file deleted."
"src/backtest/__pycache__/analysis_crb_validation_101.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","12898","Generated cache file deleted."
"src/backtest/__pycache__/analysis_drawdown_control_094.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","23596","Generated cache file deleted."
"src/backtest/__pycache__/analysis_entry_policy_experiment.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","6112","Generated cache file deleted."
"src/backtest/__pycache__/analysis_exclusion.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","10219","Generated cache file deleted."
"src/backtest/__pycache__/analysis_execution_density_097.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","32151","Generated cache file deleted."
"src/backtest/__pycache__/analysis_final_validation_limited_chase.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","11264","Generated cache file deleted."
"src/backtest/__pycache__/analysis_final_validation_time_stop_only.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","18752","Generated cache file deleted."
"src/backtest/__pycache__/analysis_gate_revalidation_077.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","6824","Generated cache file deleted."
"src/backtest/__pycache__/analysis_max_return_regime_510.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","34846","Generated cache file deleted."
"src/backtest/__pycache__/analysis_minimal_regime_entry_gate_076.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","20309","Generated cache file deleted."
"src/backtest/__pycache__/analysis_missed_drawdown.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","16840","Generated cache file deleted."
"src/backtest/__pycache__/analysis_multi_entry_201.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","19699","Generated cache file deleted."
"src/backtest/__pycache__/analysis_multi_entry_review_201.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","7884","Generated cache file deleted."
"src/backtest/__pycache__/analysis_multi_strategy_300.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","29124","Generated cache file deleted."
"src/backtest/__pycache__/analysis_portfolio_validation_083.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","24206","Generated cache file deleted."
"src/backtest/__pycache__/analysis_realistic_engine_202.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","24271","Generated cache file deleted."
"src/backtest/__pycache__/analysis_realistic_engine_203.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","24020","Generated cache file deleted."
"src/backtest/__pycache__/analysis_regime_decomposition_078.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","14349","Generated cache file deleted."
"src/backtest/__pycache__/analysis_regime_rebuild_511.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","45057","Generated cache file deleted."
"src/backtest/__pycache__/analysis_regime_switch_500.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","29311","Generated cache file deleted."
"src/backtest/__pycache__/analysis_revalidation_096.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","16565","Generated cache file deleted."
"src/backtest/__pycache__/analysis_revalidation_100.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","16421","Generated cache file deleted."
"src/backtest/__pycache__/analysis_risk_adoption_095.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","13540","Generated cache file deleted."
"src/backtest/__pycache__/analysis_risk_component_review_094.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","11932","Generated cache file deleted."
"src/backtest/__pycache__/analysis_risk_grid_068b.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","18166","Generated cache file deleted."
"src/backtest/__pycache__/analysis_risk_model_layer.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","6676","Generated cache file deleted."
"src/backtest/__pycache__/analysis_sector.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","7626","Generated cache file deleted."
"src/backtest/__pycache__/analysis_sharpe_gap_review_096.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","39644","Generated cache file deleted."
"src/backtest/__pycache__/analysis_sharpe_tuning_096_5.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","15114","Generated cache file deleted."
"src/backtest/__pycache__/analysis_signal_density_098.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","17999","Generated cache file deleted."
"src/backtest/__pycache__/analysis_signal_funnel_098_5.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","29987","Generated cache file deleted."
"src/backtest/__pycache__/analysis_stop_loss_structure.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","18744","Generated cache file deleted."
"src/backtest/__pycache__/analysis_strategy_lock_084.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","29123","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_322.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","75794","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_add_relay_lifecycle_363.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","10135","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_alpha_family_viability_350.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","49244","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_anchored_oos_failure_uplift_355.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","23030","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_audit_323.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","25785","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_behavior_clustered_state_333.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","56033","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_behavior_state_monetization_334.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","39929","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_best_combo_323plus.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","178945","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_canonical_continuation_oos_overlay_387.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","4587","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_canonical_continuation_quality_386.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","4579","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_canonical_lifecycle_capture_expansion_383.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","4409","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_canonical_lifecycle_replay_revalidation_382.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","4997","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_canonical_lifecycle_stream_accumulation_384.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","5213","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_conditional_edge_integration_342.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","42871","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_continuation_regime_persistence_351.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","36407","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_continuation_regime_reframing_352.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","20737","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_coverage_corrected_revalidation_346.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","48344","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_cross_regime_persistence_349.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","47674","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_definition_audit_373.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","6516","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_endogenous_state_gated_allocator_357.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","37867","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_event_capture_369.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","7186","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_event_lifecycle_365.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","8453","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_event_shock_regime_audit_356.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","28966","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_exit_size_324.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","35068","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_forward_persistence_375.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","9467","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_forward_pure_breakout_374.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","14975","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_healthy_expansion_362.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","15703","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_identity_review_protocol_380.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","7254","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_information_layer_expansion_335.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","46679","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_intraday_backfill_scope_337.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","4403","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_intraday_coverage_alignment_345.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","25342","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_intraday_coverage_audit_337.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","11810","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_intraday_evaluation_fix_338.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","24965","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_intraday_evidence_expansion_audit_344.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","10468","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_intraday_signal_strengthening_339.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","35730","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_lifecycle_coverage_377.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","5910","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_lifecycle_identity_reconciliation_379.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","7715","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_lifecycle_recovery_378.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","7081","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_lifecycle_replay_364.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","7654","Generated cache file deleted."
"src/backtest/__pycache__/analysis_structural_breakout_local_state_stabilization_331.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","27174","Generated cache file deleted."
