metric,value,status,notes
common_crawl_backfill_smoke_rows_v3,2,PRIMARY_PASS,Common Crawl CDX/WARC 2016 archive smoke produced 2 filtered context-ready rows and 0 blocked.
common_crawl_backfill_source_time_certified,0,PRIMARY_PASS,Common Crawl archive rows are diagnostic context only and keep source_time_certified_flag=0.
common_crawl_backfill_usable_for_historical_backtest,0,PRIMARY_PASS,Common Crawl archive rows are not marked backtest-ready without full source-time certification.
common_crawl_backfill_smoke_rows_v8,11,PRIMARY_PASS,CNN Money Common Crawl 2016 archive smoke produced 11 filtered context-ready rows and 0 blocked.
common_crawl_backfill_l1_context_ready_v8,11,PRIMARY_PASS,All CNN Money Common Crawl v8 rows were context-ready and ticker mapping was not required.
common_crawl_removed_stale_patterns,finance.yahoo.com/news/*;www.investing.com/news/*,PRIMARY_PASS,Removed from Common Crawl historical defaults after out-of-window 2013-2014 article metadata appeared inside 2016 crawl collections; both sources remain live RSS sources.
l2_smoke_facts,170,PRIMARY_PASS,Real smoke plus Guardian smoke ingested to isolated L2 DB as 170 news facts.
expansion_l2_smoke_facts_v2,403,PRIMARY_PASS,Expanded 14-source smoke ingested to isolated L2 DB as 403 news facts.
cnbc_l2_smoke_facts_v4,3,PRIMARY_PASS,CNBC historical smoke ingested to isolated L2 DB as 3 news facts.
wikimedia_l2_smoke_facts_v3,20,PRIMARY_PASS,Wikimedia historical smoke ingested to isolated L2 DB as 20 news facts.
common_crawl_l2_smoke_facts_v3,2,PRIMARY_PASS,Common Crawl historical smoke ingested to isolated L2 DB as 2 news facts.
common_crawl_l2_smoke_facts_v8,11,PRIMARY_PASS,CNN Money Common Crawl historical smoke ingested to isolated L2 DB as 11 news facts.
wordpress_l2_smoke_facts_v2,80,PRIMARY_PASS,The Hill and TechCrunch WordPress REST historical smoke ingested to isolated L2 DB as 80 news facts.
ev_wordpress_l2_smoke_facts_v1,80,PRIMARY_PASS,Electrek and Teslarati WordPress REST historical smoke ingested to isolated L2 DB as 80 news facts.
external_rss_l2_smoke_facts_v1,122,PRIMARY_PASS,Promoted external RSS smoke ingested to isolated L2 DB as 122 news facts.
external_wordpress_l2_smoke_facts_v1,138,PRIMARY_PASS,External WordPress REST historical smoke ingested to isolated L2 DB as 138 news facts.
l2_no_trade_outputs,0,PRIMARY_PASS,L2 no-trade validator passed.
background_workers_pre_v017_restart,2,PRIMARY_PASS,Pre-v0.1.7 22-source live watcher and 13-source historical backfill workers were running before the default expansion; restart is required for 37/17 defaults.
background_workers_v017_restart,2,PRIMARY_PASS,Market macro live watcher restarted as PID 25144 with 37 sources and backfill restarted as PID 24508 with 17 sources.
collector_version_v018,public_market_macro_news_collector.v0.1.8,PRIMARY_PASS,Adds Finviz public HTML headline parser requests fallback for urllib 403 monthly sitemap article-meta backfill source-specific backfill windows and date-only UTC normalization.
live_sources_v018,48,PRIMARY_PASS,Live watcher default now includes Seeking Alpha Market Currents Finviz public news HTML and 9 Industry Dive RSS sources.
industry_dive_backfill_sources_v018,9,PRIMARY_PASS,Separate Industry Dive backfill worker covers Banking Retail CIO Cybersecurity Payments Manufacturing Food Healthcare and PharmaVoice monthly sitemap archives.
industry_dive_live_smoke_rows_v018,117,PRIMARY_PASS,Real v0.1.8 live smoke produced 117 context-ready rows and 0 blocked from Seeking Alpha Finviz and 9 Industry Dive sources.
industry_dive_backfill_smoke_rows_v018,9,PRIMARY_PASS,Real v0.1.8 all-source monthly sitemap smoke produced 9 context-ready rows from 9/9 Industry Dive sources and 0 blocked.
industry_dive_l2_smoke_facts_v018,126,PRIMARY_PASS,V0.1.8 live plus Industry Dive archive smoke ingested to isolated L2 DB as 126 news facts with no trade outputs.
background_workers_v018_restart,3,PRIMARY_PASS,Market macro live watcher restarted as PID 21088 with 48 sources existing market macro backfill remains PID 24508 and separate Industry Dive backfill started as PID 12188.
collector_version_v019,public_market_macro_news_collector.v0.1.9,PRIMARY_PASS,Expands sector-Dive source defaults and upgrades Utility SupplyChain BioPharma Dive to monthly sitemap backfill without changing trade authority.
live_sources_v019,58,PRIMARY_PASS,Live watcher default now includes 58 public RSS/HTML sources after adding 10 sector-Dive sources.
industry_sector_backfill_sources_v019,22,PRIMARY_PASS,Separate Industry sector backfill worker now covers 22 monthly sitemap archive sources with source-specific start dates and 5-second crawl delay.
industry_sector_live_smoke_rows_v019,130,PRIMARY_PASS,Real v0.1.9 sector-Dive live smoke produced 130 context-ready rows from 13/13 sources and 0 blocked.
industry_sector_backfill_smoke_rows_v019,13,PRIMARY_PASS,Real v0.1.9 sector-Dive monthly sitemap smoke produced 13 context-ready rows from 13/13 sources and 0 blocked.
industry_sector_l2_smoke_facts_v019,143,PRIMARY_PASS,V0.1.9 live plus sector-Dive archive smoke ingested to isolated L2 DB as 143 news facts with no trade outputs.
stocktitan_candidate_v019,not_promoted,PRIMARY_PASS,StockTitan public RSS and date pages were identified as ticker-rich candidates but require a dedicated parser and crawl budget before promotion.
background_workers_v019_restart,3,PRIMARY_PASS,Market macro live watcher restarted as PID 24144 with 58 sources existing market macro backfill remains PID 24508 and separate Industry sector backfill restarted as PID 22692 with 22 sources.
collector_version_v0110,public_market_macro_news_collector.v0.1.10,PRIMARY_PASS,Adds StockTitan public RSS explicit source URL ticker mapping without GPT inference or symbol-token fallback.
live_sources_v0110,59,PRIMARY_PASS,Live watcher default now includes 59 public RSS/HTML sources after adding StockTitan public RSS.
stocktitan_live_smoke_rows_v0110,100,PRIMARY_PASS,Real StockTitan RSS smoke produced 100 rows and 0 blocked.
stocktitan_live_smoke_mapped_v0110,100,PRIMARY_PASS,StockTitan smoke mapped 100/100 rows using explicit source URL ticker path evidence.
stocktitan_l2_smoke_facts_v0110,100,PRIMARY_PASS,StockTitan live smoke ingested to isolated L2 DB as 100 news facts with no trade outputs.
stocktitan_archive_backfill_v0110,not_promoted,PRIMARY_PASS,StockTitan date archives are not promoted because 2025/2024/2022 probes returned 403 and 2016/2018/2020 probes returned 410.
background_workers_v0110_restart,1,PRIMARY_PASS,Market macro live watcher restarted as PID 20004 with 59 sources; existing market macro backfill and Industry sector backfill workers remain running.
remaining_history_gap,non_guardian_non_cnbc_non_wikimedia_non_common_crawl_non_wordpress_archives,PRIMARY_PASS,Historical full backfill for other publishers remains source-specific and not claimed.
collector_version_v0111,public_market_macro_news_collector.v0.1.11,PRIMARY_PASS,Adds non-newswire market source RSS and WordPress REST expansion without changing trade authority.
live_sources_v0111,68,PRIMARY_PASS,Live watcher default now includes 68 public RSS/HTML sources after adding IBD InvestorPlace FXStreet Defense One Nareit ETF Trends HousingWire American Banker and Techmeme.
market_macro_backfill_sources_v0111,21,PRIMARY_PASS,Market macro backfill default now includes 21 sources after adding IBD InvestorPlace ETF Trends and HousingWire WordPress REST archives.
non_newswire_market_live_smoke_rows_v0111,289,PRIMARY_PASS,Real v0.1.11 live RSS smoke produced 289 context-ready rows from 9/9 sources with 0 blocked.
non_newswire_market_wp_backfill_rows_v0111,310,PRIMARY_PASS,Real v0.1.11 January 2016 WordPress backfill smoke produced 310 context-ready rows from 4/4 sources with 0 blocked.
non_newswire_market_l2_smoke_facts_v0111,599,PRIMARY_PASS,V0.1.11 live plus WordPress backfill smoke ingested to isolated L2 DB as 599 news facts with no trade outputs.
background_workers_v0111_restart,2,PRIMARY_PASS,Market macro live watcher restarted as PID 8052 with 68 sources and market macro backfill restarted as PID 3504 with 21 sources while Industry sector backfill remains PID 22692.
