lifecycle_id,symbol,theme_id,entry_ts,split_name,source_event_available_flag,evidence_brain_state,economic_transmission_state,market_pricing_brain_state,portfolio_brain_state,review_decision_state,invalidation_condition,risk_budget_state,sizing_cap_reason,final_brain_state,final_brain_reason_codes,translator_output_is_action_flag,outcome_used_for_assignment_flag,future_price_used_for_assignment_flag,missing_source_used_as_negative_flag,macro_used_for_assignment_flag,real_capital_status,no_action_reason
TASK617|IR|20240102T144500Z,IR,industrial_automation_robotics,2024-01-02 14:45:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|RKLB|20240102T150000Z,RKLB,aerospace_defense_space,2024-01-02 15:00:00+00:00,train_design,1,evidence_needs_context,backlog_or_order_path_visible,market_acceptance_incomplete,slot_candidate_needs_confirmation,research_only_no_slot_or_confirmation,invalid_if_evidence_cannot_be_tied_to_price_or_economics,no_budget_research_only,not_approved_until_guardrail_passes,research_only_no_slot_or_confirmation__no_budget_research_only,review=research_only_no_slot_or_confirmation|invalidation=invalid_if_evidence_cannot_be_tied_to_price_or_economics|budget=no_budget_research_only|cap=not_approved_until_guardrail_passes,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|AFRM|20240103T143000Z,AFRM,crypto_fintech,2024-01-03 14:30:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|GOOGL|20240103T143000Z,GOOGL,cloud_ai_platforms,2024-01-03 14:30:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|META|20240103T143000Z,META,cloud_ai_platforms,2024-01-03 14:30:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|S|20240103T143000Z,S,cybersecurity,2024-01-03 14:30:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|FTNT|20240103T144500Z,FTNT,cybersecurity,2024-01-03 14:45:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,slot_candidate_needs_confirmation,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|REGN|20240103T150000Z,REGN,biotech_glp1_healthcare,2024-01-03 15:00:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,slot_candidate_needs_confirmation,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|ARM|20240103T151500Z,ARM,ai_semiconductors,2024-01-03 15:15:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|LLY|20240103T151500Z,LLY,biotech_glp1_healthcare,2024-01-03 15:15:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|NEE|20240103T160000Z,NEE,power_grid_electrification,2024-01-03 16:00:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,slot_candidate_needs_confirmation,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|RKLB|20240103T161500Z,RKLB,aerospace_defense_space,2024-01-03 16:15:00+00:00,train_design,1,evidence_needs_context,backlog_or_order_path_visible,market_acceptance_incomplete,slot_candidate_needs_confirmation,research_only_no_slot_or_confirmation,invalid_if_evidence_cannot_be_tied_to_price_or_economics,no_budget_research_only,not_approved_until_guardrail_passes,research_only_no_slot_or_confirmation__no_budget_research_only,review=research_only_no_slot_or_confirmation|invalidation=invalid_if_evidence_cannot_be_tied_to_price_or_economics|budget=no_budget_research_only|cap=not_approved_until_guardrail_passes,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|AMGN|20240103T163000Z,AMGN,biotech_glp1_healthcare,2024-01-03 16:30:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,slot_candidate_needs_confirmation,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|GM|20240103T191500Z,GM,ev_autonomy_mobility,2024-01-03 19:15:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,slot_candidate_needs_confirmation,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|HOOD|20240104T143000Z,HOOD,crypto_fintech,2024-01-04 14:30:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|NEE|20240104T143000Z,NEE,power_grid_electrification,2024-01-04 14:30:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|NVO|20240104T143000Z,NVO,biotech_glp1_healthcare,2024-01-04 14:30:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|AFRM|20240104T144500Z,AFRM,crypto_fintech,2024-01-04 14:45:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|AMGN|20240104T144500Z,AMGN,biotech_glp1_healthcare,2024-01-04 14:45:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|COIN|20240104T144500Z,COIN,crypto_fintech,2024-01-04 14:45:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|EMR|20240104T144500Z,EMR,industrial_automation_robotics,2024-01-04 14:45:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|MSTR|20240104T144500Z,MSTR,crypto_fintech,2024-01-04 14:45:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|ROK|20240104T144500Z,ROK,industrial_automation_robotics,2024-01-04 14:45:00+00:00,train_design,1,source_present_but_noise_dominated,no_clear_economic_path,market_pricing_needs_review,slot_candidate_needs_confirmation,research_only_no_slot_or_confirmation,invalid_if_evidence_cannot_be_tied_to_price_or_economics,no_budget_research_only,not_approved_until_guardrail_passes,research_only_no_slot_or_confirmation__no_budget_research_only,review=research_only_no_slot_or_confirmation|invalidation=invalid_if_evidence_cannot_be_tied_to_price_or_economics|budget=no_budget_research_only|cap=not_approved_until_guardrail_passes,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|VRTX|20240104T144500Z,VRTX,biotech_glp1_healthcare,2024-01-04 14:45:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|AVGO|20240104T150000Z,AVGO,ai_semiconductors,2024-01-04 15:00:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|S|20240104T150000Z,S,cybersecurity,2024-01-04 15:00:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|AMD|20240104T151500Z,AMD,ai_semiconductors,2024-01-04 15:15:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|LLY|20240104T151500Z,LLY,biotech_glp1_healthcare,2024-01-04 15:15:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|FTNT|20240104T160000Z,FTNT,cybersecurity,2024-01-04 16:00:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|REGN|20240104T160000Z,REGN,biotech_glp1_healthcare,2024-01-04 16:00:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|AMGN|20240108T143000Z,AMGN,biotech_glp1_healthcare,2024-01-08 14:30:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|ARM|20240108T143000Z,ARM,ai_semiconductors,2024-01-08 14:30:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|AVGO|20240108T143000Z,AVGO,ai_semiconductors,2024-01-08 14:30:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|CRWD|20240108T143000Z,CRWD,cybersecurity,2024-01-08 14:30:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|MRVL|20240108T143000Z,MRVL,ai_semiconductors,2024-01-08 14:30:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|NEE|20240108T143000Z,NEE,power_grid_electrification,2024-01-08 14:30:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
